Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1721532814,2024-07-21T03:33:34Z,THY7VQ,"41.256683,28.747986",0,3,337
1721532845,2024-07-21T03:34:05Z,THY7VQ,"41.256351,28.74826",0,3,289
1721532860,2024-07-21T03:34:20Z,THY7VQ,"41.256306,28.748474",0,2,267
1721532874,2024-07-21T03:34:34Z,THY7VQ,"41.256306,28.748693",0,3,270
1721532886,2024-07-21T03:34:46Z,THY7VQ,"41.256317,28.748901",0,3,267
1721532899,2024-07-21T03:34:59Z,THY7VQ,"41.256329,28.749113",0,3,267
1721532910,2024-07-21T03:35:10Z,THY7VQ,"41.25634,28.749332",0,3,267
1721532922,2024-07-21T03:35:22Z,THY7VQ,"41.256351,28.749542",0,2,267
1721532935,2024-07-21T03:35:35Z,THY7VQ,"41.256374,28.749769",0,3,278
1721532949,2024-07-21T03:35:49Z,THY7VQ,"41.256351,28.749971",0,2,306
1721532964,2024-07-21T03:36:04Z,THY7VQ,"41.256245,28.750175",0,3,323
1721532985,2024-07-21T03:36:25Z,THY7VQ,"41.256023,28.750362",0,3,354
1721533002,2024-07-21T03:36:42Z,THY7VQ,"41.255814,28.750362",0,2,2
1721533191,2024-07-21T03:39:51Z,THY7VQ,"41.256145,28.750443",0,9,22
1721533196,2024-07-21T03:39:56Z,THY7VQ,"41.256283,28.750687",0,11,59
1721533200,2024-07-21T03:40:00Z,THY7VQ,"41.256317,28.750961",0,11,81
1721533205,2024-07-21T03:40:05Z,THY7VQ,"41.256329,28.751266",0,10,87
1721533210,2024-07-21T03:40:10Z,THY7VQ,"41.25634,28.751564",0,9,90
1721533214,2024-07-21T03:40:14Z,THY7VQ,"41.25634,28.751785",0,9,90
1721533218,2024-07-21T03:40:18Z,THY7VQ,"41.25634,28.752016",0,9,90
1721533225,2024-07-21T03:40:25Z,THY7VQ,"41.25634,28.752453",0,10,90
1721533232,2024-07-21T03:40:32Z,THY7VQ,"41.256351,28.752914",0,10,90
1721533239,2024-07-21T03:40:39Z,THY7VQ,"41.256351,28.753374",0,12,90
1721533242,2024-07-21T03:40:42Z,THY7VQ,"41.256386,28.753609",0,12,75
1721533246,2024-07-21T03:40:46Z,THY7VQ,"41.256535,28.753845",0,11,42
1721533251,2024-07-21T03:40:51Z,THY7VQ,"41.256763,28.753922",0,11,16
1721533256,2024-07-21T03:40:56Z,THY7VQ,"41.257015,28.753937",0,12,2
1721533260,2024-07-21T03:41:00Z,THY7VQ,"41.257305,28.753952",0,14,2
1721533263,2024-07-21T03:41:03Z,THY7VQ,"41.257507,28.753937",0,15,2
1721533266,2024-07-21T03:41:06Z,THY7VQ,"41.257725,28.753937",0,15,2
1721533269,2024-07-21T03:41:09Z,THY7VQ,"41.257954,28.753937",0,16,2
1721533276,2024-07-21T03:41:16Z,THY7VQ,"41.25856,28.75392",0,18,2
1721533287,2024-07-21T03:41:27Z,THY7VQ,"41.259567,28.753906",0,19,2
1721533295,2024-07-21T03:41:35Z,THY7VQ,"41.260162,28.753906",0,17,2
1721533302,2024-07-21T03:41:42Z,THY7VQ,"41.260715,28.753889",0,16,2
1721533308,2024-07-21T03:41:48Z,THY7VQ,"41.261238,28.753876",0,16,2
1721533316,2024-07-21T03:41:56Z,THY7VQ,"41.26173,28.75386",0,14,2
1721533322,2024-07-21T03:42:02Z,THY7VQ,"41.262039,28.753876",0,11,11
1721533328,2024-07-21T03:42:08Z,THY7VQ,"41.262276,28.754154",0,11,53
1721533331,2024-07-21T03:42:11Z,THY7VQ,"41.262314,28.754395",0,11,75
1721533336,2024-07-21T03:42:16Z,THY7VQ,"41.262325,28.754654",0,9,87
1721533340,2024-07-21T03:42:20Z,THY7VQ,"41.262337,28.754883",0,8,90
1721533346,2024-07-21T03:42:26Z,THY7VQ,"41.262333,28.755106",0,7,90
1721533353,2024-07-21T03:42:33Z,THY7VQ,"41.262333,28.755325",0,4,90
1721533449,2024-07-21T03:44:09Z,THY7VQ,"41.262337,28.755554",0,4,90
1721533456,2024-07-21T03:44:16Z,THY7VQ,"41.262344,28.755793",0,6,90
1721533463,2024-07-21T03:44:23Z,THY7VQ,"41.262344,28.75609",0,7,90
1721533469,2024-07-21T03:44:29Z,THY7VQ,"41.262371,28.756332",0,7,78
1721533477,2024-07-21T03:44:37Z,THY7VQ,"41.26252,28.756546",0,6,47
1721533487,2024-07-21T03:44:47Z,THY7VQ,"41.262749,28.756668",0,5,16
1721533508,2024-07-21T03:45:08Z,THY7VQ,"41.262962,28.756666",0,2,2
1721533515,2024-07-21T03:45:15Z,THY7VQ,"41.263172,28.756666",0,8,2
1721533518,2024-07-21T03:45:18Z,THY7VQ,"41.263451,28.756666",0,18,2
1721533520,2024-07-21T03:45:20Z,THY7VQ,"41.263767,28.756668",0,27,2
1721533522,2024-07-21T03:45:22Z,THY7VQ,"41.264168,28.756653",0,36,2
1721533523,2024-07-21T03:45:23Z,THY7VQ,"41.264427,28.756651",0,41,2
1721533529,2024-07-21T03:45:29Z,THY7VQ,"41.266464,28.75662",0,70,2
1721533538,2024-07-21T03:45:38Z,THY7VQ,"41.27,28.75659",425,103,359
1721533547,2024-07-21T03:45:47Z,THY7VQ,"41.275635,28.756464",400,134,359
1721533555,2024-07-21T03:45:55Z,THY7VQ,"41.281593,28.75634",400,160,359
1721533561,2024-07-21T03:46:01Z,THY7VQ,"41.286484,28.756104",550,167,357
1721533570,2024-07-21T03:46:10Z,THY7VQ,"41.293556,28.755964",825,170,359
1721533579,2024-07-21T03:46:19Z,THY7VQ,"41.300819,28.755714",1125,174,358
1721533585,2024-07-21T03:46:25Z,THY7VQ,"41.305241,28.756277",1300,175,8
1721533589,2024-07-21T03:46:29Z,THY7VQ,"41.308083,28.75765",1425,174,18
1721533592,2024-07-21T03:46:32Z,THY7VQ,"41.310036,28.759148",1525,171,29
