Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1724123998,2024-08-20T03:19:58Z,MSC180,"27.975792,34.385662",0,3,312
1724124016,2024-08-20T03:20:16Z,MSC180,"27.975603,34.385876",0,3,315
1724124034,2024-08-20T03:20:34Z,MSC180,"27.975426,34.386086",0,3,312
1724124052,2024-08-20T03:20:52Z,MSC180,"27.975254,34.386295",0,4,284
1724124066,2024-08-20T03:21:06Z,MSC180,"27.975163,34.386509",0,3,233
1724124333,2024-08-20T03:25:33Z,MSC180,"27.974945,34.386311",0,6,222
1724124342,2024-08-20T03:25:42Z,MSC180,"27.974739,34.386086",0,8,222
1724124348,2024-08-20T03:25:48Z,MSC180,"27.97452,34.38586",0,10,222
1724124355,2024-08-20T03:25:55Z,MSC180,"27.974213,34.385544",0,14,222
1724124363,2024-08-20T03:26:03Z,MSC180,"27.973835,34.385147",0,17,222
1724124370,2024-08-20T03:26:10Z,MSC180,"27.973389,34.38467",0,19,222
1724124390,2024-08-20T03:26:30Z,MSC180,"27.971832,34.383072",0,0,222
1724124398,2024-08-20T03:26:38Z,MSC180,"27.971214,34.382442",0,23,222
1724124405,2024-08-20T03:26:45Z,MSC180,"27.97068,34.381874",0,21,225
1724124412,2024-08-20T03:26:52Z,MSC180,"27.97023,34.381409",0,14,222
1724124417,2024-08-20T03:26:57Z,MSC180,"27.96999,34.381279",0,12,199
1724124421,2024-08-20T03:27:01Z,MSC180,"27.969772,34.381325",0,13,168
1724124425,2024-08-20T03:27:05Z,MSC180,"27.969555,34.381531",0,15,137
1724124429,2024-08-20T03:27:09Z,MSC180,"27.969341,34.381794",0,17,132
1724124432,2024-08-20T03:27:12Z,MSC180,"27.969166,34.382011",0,17,132
1724124436,2024-08-20T03:27:16Z,MSC180,"27.968969,34.382267",0,16,132
1724124440,2024-08-20T03:27:20Z,MSC180,"27.968794,34.382481",0,14,132
1724124443,2024-08-20T03:27:23Z,MSC180,"27.968742,34.382706",0,15,101
1724124446,2024-08-20T03:27:26Z,MSC180,"27.968794,34.382927",0,15,73
1724124450,2024-08-20T03:27:30Z,MSC180,"27.969017,34.383179",0,16,42
1724124454,2024-08-20T03:27:34Z,MSC180,"27.969257,34.38343",0,22,42
1724124456,2024-08-20T03:27:36Z,MSC180,"27.969486,34.383667",0,27,42
1724124458,2024-08-20T03:27:38Z,MSC180,"27.969727,34.383919",0,38,42
1724124460,2024-08-20T03:27:40Z,MSC180,"27.970047,34.384251",0,48,42
1724124462,2024-08-20T03:27:42Z,MSC180,"27.970411,34.384621",0,58,42
