Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1732537622,2024-11-25T12:27:02Z,PGT75WQ,"40.892742,35.640961",8250,177,56
1732537637,2024-11-25T12:27:17Z,PGT75WQ,"40.90089,35.654316",9075,174,41
1732537639,2024-11-25T12:27:19Z,PGT75WQ,"40.902649,35.656067",9225,173,35
1732537643,2024-11-25T12:27:23Z,PGT75WQ,"40.905079,35.657875",9375,174,28
1732537646,2024-11-25T12:27:26Z,PGT75WQ,"40.907501,35.659248",9525,175,22
1732537649,2024-11-25T12:27:29Z,PGT75WQ,"40.909836,35.660095",9625,179,15
1732537652,2024-11-25T12:27:32Z,PGT75WQ,"40.912445,35.660706",9725,183,9
1732537655,2024-11-25T12:27:35Z,PGT75WQ,"40.915146,35.660767",9850,186,2
1732537657,2024-11-25T12:27:37Z,PGT75WQ,"40.916931,35.660645",9925,189,357
1732537660,2024-11-25T12:27:40Z,PGT75WQ,"40.919632,35.660034",10025,191,351
1732537664,2024-11-25T12:27:44Z,PGT75WQ,"40.923065,35.658508",10200,197,339
1732537667,2024-11-25T12:27:47Z,PGT75WQ,"40.9254,35.656982",10325,199,332
1732537670,2024-11-25T12:27:50Z,PGT75WQ,"40.927704,35.654942",10475,202,325
1732537673,2024-11-25T12:27:53Z,PGT75WQ,"40.929794,35.652588",10600,204,317
1732537676,2024-11-25T12:27:56Z,PGT75WQ,"40.931755,35.649761",10750,205,313
1732537679,2024-11-25T12:27:59Z,PGT75WQ,"40.933868,35.646484",10925,206,308
1732537682,2024-11-25T12:28:02Z,PGT75WQ,"40.935665,35.64333",11075,208,307
1732537685,2024-11-25T12:28:05Z,PGT75WQ,"40.93721,35.640686",11150,213,306
1732537688,2024-11-25T12:28:08Z,PGT75WQ,"40.938995,35.637329",11225,218,305
1732537692,2024-11-25T12:28:12Z,PGT75WQ,"40.940598,35.634399",11275,224,304
1732537694,2024-11-25T12:28:14Z,PGT75WQ,"40.942741,35.630222",11350,228,304
1732537697,2024-11-25T12:28:17Z,PGT75WQ,"40.944489,35.626831",11400,234,303
1732537700,2024-11-25T12:28:20Z,PGT75WQ,"40.946274,35.623291",11450,238,303
1732537704,2024-11-25T12:28:24Z,PGT75WQ,"40.948235,35.619175",11500,244,302
1732537706,2024-11-25T12:28:26Z,PGT75WQ,"40.949158,35.617188",11525,251,301
1732537722,2024-11-25T12:28:42Z,PGT75WQ,"40.958771,35.593872",11975,273,295
1732537724,2024-11-25T12:28:44Z,PGT75WQ,"40.960197,35.58971",12075,278,293
1732537727,2024-11-25T12:28:47Z,PGT75WQ,"40.961685,35.585155",12150,280,293
1732537730,2024-11-25T12:28:50Z,PGT75WQ,"40.963036,35.580471",12225,285,291
