Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1733499800,2024-12-06T15:43:20Z,TVF34XK,"41.263695,28.745243",0,2,194
1733499819,2024-12-06T15:43:39Z,TVF34XK,"41.263905,28.745306",0,2,157
1733500120,2024-12-06T15:48:40Z,TVF34XK,"41.264381,28.745728",0,0,28
1733500128,2024-12-06T15:48:48Z,TVF34XK,"41.264717,28.745865",0,10,16
1733500136,2024-12-06T15:48:56Z,TVF34XK,"41.265102,28.746023",0,12,14
1733500141,2024-12-06T15:49:01Z,TVF34XK,"41.265369,28.746109",0,12,11
1733500145,2024-12-06T15:49:05Z,TVF34XK,"41.265602,28.746134",0,13,2
1733500149,2024-12-06T15:49:09Z,TVF34XK,"41.265846,28.746134",0,13,2
1733500154,2024-12-06T15:49:14Z,TVF34XK,"41.266182,28.746124",0,14,357
1733500159,2024-12-06T15:49:19Z,TVF34XK,"41.26651,28.746119",0,14,357
1733500165,2024-12-06T15:49:25Z,TVF34XK,"41.266926,28.746109",0,15,357
1733500173,2024-12-06T15:49:33Z,TVF34XK,"41.267441,28.746101",0,15,357
1733500176,2024-12-06T15:49:36Z,TVF34XK,"41.267685,28.746101",0,15,357
1733500183,2024-12-06T15:49:43Z,TVF34XK,"41.268162,28.746086",0,15,357
1733500191,2024-12-06T15:49:51Z,TVF34XK,"41.268711,28.746071",0,14,357
1733500199,2024-12-06T15:49:59Z,TVF34XK,"41.269199,28.746071",0,13,357
1733500203,2024-12-06T15:50:03Z,TVF34XK,"41.269432,28.746164",0,12,22
1733500207,2024-12-06T15:50:07Z,TVF34XK,"41.269569,28.746368",0,11,53
1733500211,2024-12-06T15:50:11Z,TVF34XK,"41.269619,28.746634",0,11,75
1733500214,2024-12-06T15:50:14Z,TVF34XK,"41.269627,28.746857",0,11,87
1733500217,2024-12-06T15:50:17Z,TVF34XK,"41.26963,28.74707",0,11,90
1733500220,2024-12-06T15:50:20Z,TVF34XK,"41.269627,28.747284",0,12,90
1733500225,2024-12-06T15:50:25Z,TVF34XK,"41.269627,28.747574",0,12,90
1733500228,2024-12-06T15:50:28Z,TVF34XK,"41.26963,28.747803",0,12,90
1733500231,2024-12-06T15:50:31Z,TVF34XK,"41.269638,28.748077",0,12,90
1733500234,2024-12-06T15:50:34Z,TVF34XK,"41.269638,28.748291",0,12,90
1733500238,2024-12-06T15:50:38Z,TVF34XK,"41.269642,28.748598",0,12,90
1733500249,2024-12-06T15:50:49Z,TVF34XK,"41.26965,28.749359",0,12,90
1733500256,2024-12-06T15:50:56Z,TVF34XK,"41.269653,28.749989",0,13,90
1733500265,2024-12-06T15:51:05Z,TVF34XK,"41.269665,28.750753",0,14,90
1733500273,2024-12-06T15:51:13Z,TVF34XK,"41.269665,28.751486",0,15,90
1733500281,2024-12-06T15:51:21Z,TVF34XK,"41.269676,28.752172",0,15,90
1733500289,2024-12-06T15:51:29Z,TVF34XK,"41.269684,28.752853",0,13,90
1733500294,2024-12-06T15:51:34Z,TVF34XK,"41.269672,28.75325",0,12,98
1733500298,2024-12-06T15:51:38Z,TVF34XK,"41.269585,28.753515",0,12,120
1733500302,2024-12-06T15:51:42Z,TVF34XK,"41.269375,28.753687",0,11,151
1733500308,2024-12-06T15:51:48Z,TVF34XK,"41.269123,28.753723",0,11,177
1733500312,2024-12-06T15:51:52Z,TVF34XK,"41.268898,28.753733",0,10,180
1733500317,2024-12-06T15:51:57Z,TVF34XK,"41.268639,28.753733",0,11,177
1733500323,2024-12-06T15:52:03Z,TVF34XK,"41.268349,28.753748",0,12,177
1733500326,2024-12-06T15:52:06Z,TVF34XK,"41.268127,28.753748",0,13,180
1733500330,2024-12-06T15:52:10Z,TVF34XK,"41.26791,28.753738",0,13,177
1733500336,2024-12-06T15:52:16Z,TVF34XK,"41.267532,28.753754",0,14,177
1733500344,2024-12-06T15:52:24Z,TVF34XK,"41.266983,28.753769",0,15,177
1733500351,2024-12-06T15:52:31Z,TVF34XK,"41.266407,28.75378",0,16,177
1733500359,2024-12-06T15:52:39Z,TVF34XK,"41.265816,28.753784",0,16,177
1733500366,2024-12-06T15:52:46Z,TVF34XK,"41.265278,28.753796",0,15,177
1733500375,2024-12-06T15:52:55Z,TVF34XK,"41.264648,28.753815",0,15,177
1733500382,2024-12-06T15:53:02Z,TVF34XK,"41.264206,28.753826",0,14,177
1733500388,2024-12-06T15:53:08Z,TVF34XK,"41.263836,28.75383",0,12,177
1733500393,2024-12-06T15:53:13Z,TVF34XK,"41.263573,28.75386",0,10,171
1733500399,2024-12-06T15:53:19Z,TVF34XK,"41.263344,28.754013",0,9,146
1733500403,2024-12-06T15:53:23Z,TVF34XK,"41.263241,28.754217",0,8,123
1733500408,2024-12-06T15:53:28Z,TVF34XK,"41.263206,28.754452",0,8,98
1733500413,2024-12-06T15:53:33Z,TVF34XK,"41.263218,28.754654",0,7,90
1733500419,2024-12-06T15:53:39Z,TVF34XK,"41.263218,28.754868",0,6,90
1733500427,2024-12-06T15:53:47Z,TVF34XK,"41.263218,28.755106",0,4,87
1733500463,2024-12-06T15:54:23Z,TVF34XK,"41.263229,28.755325",0,4,87
1733500471,2024-12-06T15:54:31Z,TVF34XK,"41.263229,28.75559",0,7,90
1733500478,2024-12-06T15:54:38Z,TVF34XK,"41.263229,28.755936",0,9,90
1733500486,2024-12-06T15:54:46Z,TVF34XK,"41.263229,28.756454",0,10,87
1733500492,2024-12-06T15:54:52Z,TVF34XK,"41.263264,28.756683",0,6,73
1733500505,2024-12-06T15:55:05Z,TVF34XK,"41.263474,28.756683",0,2,2
1733500523,2024-12-06T15:55:23Z,TVF34XK,"41.263687,28.756683",0,4,357
1733500529,2024-12-06T15:55:29Z,TVF34XK,"41.263905,28.756666",0,10,357
1733500532,2024-12-06T15:55:32Z,TVF34XK,"41.264114,28.756666",0,17,357
1733500534,2024-12-06T15:55:34Z,TVF34XK,"41.264465,28.756668",0,31,357
1733500536,2024-12-06T15:55:36Z,TVF34XK,"41.264854,28.756653",0,40,357
1733500537,2024-12-06T15:55:37Z,TVF34XK,"41.265186,28.756653",0,45,357
1733500538,2024-12-06T15:55:38Z,TVF34XK,"41.265453,28.756651",0,49,357
1733500540,2024-12-06T15:55:40Z,TVF34XK,"41.265835,28.756636",0,58,357
1733500547,2024-12-06T15:55:47Z,TVF34XK,"41.268665,28.756573",0,88,357
1733500554,2024-12-06T15:55:54Z,TVF34XK,"41.27211,28.756531",125,117,358
1733500564,2024-12-06T15:56:04Z,TVF34XK,"41.277962,28.756401",75,149,358
1733500572,2024-12-06T15:56:12Z,TVF34XK,"41.284561,28.756287",175,168,359
1733500582,2024-12-06T15:56:22Z,TVF34XK,"41.292068,28.756104",525,169,358
1733500590,2024-12-06T15:56:30Z,TVF34XK,"41.299099,28.756214",800,175,2
1733500594,2024-12-06T15:56:34Z,TVF34XK,"41.301472,28.756714",900,176,7
1733500597,2024-12-06T15:56:37Z,TVF34XK,"41.303844,28.75765",975,179,14
1733500599,2024-12-06T15:56:39Z,TVF34XK,"41.306126,28.759024",1075,180,22
1733500603,2024-12-06T15:56:43Z,TVF34XK,"41.308315,28.760834",1150,179,30
1733500606,2024-12-06T15:56:46Z,TVF34XK,"41.310287,28.762878",1250,181,36
1733500609,2024-12-06T15:56:49Z,TVF34XK,"41.312302,28.765259",1350,182,40
1733500612,2024-12-06T15:56:52Z,TVF34XK,"41.314133,28.767517",1425,184,42
1733500614,2024-12-06T15:56:54Z,TVF34XK,"41.315918,28.769653",1525,185,42
1733500618,2024-12-06T15:56:58Z,TVF34XK,"41.318069,28.772217",1650,186,42
1733500621,2024-12-06T15:57:01Z,TVF34XK,"41.32,28.774567",1775,186,42
1733500624,2024-12-06T15:57:04Z,TVF34XK,"41.321907,28.776751",1900,187,41
1733500627,2024-12-06T15:57:07Z,TVF34XK,"41.323929,28.77887",2025,187,38
1733500629,2024-12-06T15:57:09Z,TVF34XK,"41.325863,28.780684",2125,188,35
1733500639,2024-12-06T15:57:19Z,TVF34XK,"41.332382,28.786552",2400,194,33
1733500642,2024-12-06T15:57:22Z,TVF34XK,"41.335007,28.788757",2500,197,32
1733500645,2024-12-06T15:57:25Z,TVF34XK,"41.33757,28.790894",2575,200,31
1733500648,2024-12-06T15:57:28Z,TVF34XK,"41.340042,28.792786",2625,206,30
1733500651,2024-12-06T15:57:31Z,TVF34XK,"41.342331,28.794495",2675,209,29
