Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1737616655,2025-01-23T07:17:35Z,NSZ2603,"59.647305,17.926025",0,2,33
1737616675,2025-01-23T07:17:55Z,NSZ2603,"59.647156,17.925797",0,2,25
1737616700,2025-01-23T07:18:20Z,NSZ2603,"59.646954,17.925615",0,1,340
1737617004,2025-01-23T07:23:24Z,NSZ2603,"59.64687,17.925379",0,4,286
1737617011,2025-01-23T07:23:31Z,NSZ2603,"59.646915,17.925047",0,6,286
1737617019,2025-01-23T07:23:39Z,NSZ2603,"59.646996,17.924538",0,9,284
1737617025,2025-01-23T07:23:45Z,NSZ2603,"59.647068,17.923958",0,11,284
1737617032,2025-01-23T07:23:52Z,NSZ2603,"59.647171,17.923246",0,13,284
1737617040,2025-01-23T07:24:00Z,NSZ2603,"59.647312,17.922253",0,16,286
1737617048,2025-01-23T07:24:08Z,NSZ2603,"59.647465,17.921173",0,13,286
1737617051,2025-01-23T07:24:11Z,NSZ2603,"59.647556,17.920876",0,10,298
1737617055,2025-01-23T07:24:15Z,NSZ2603,"59.64772,17.920666",0,12,329
1737617060,2025-01-23T07:24:20Z,NSZ2603,"59.647957,17.920647",0,13,2
1737617063,2025-01-23T07:24:23Z,NSZ2603,"59.648197,17.920738",0,14,11
1737617067,2025-01-23T07:24:27Z,NSZ2603,"59.648506,17.920876",0,16,14
1737617071,2025-01-23T07:24:31Z,NSZ2603,"59.648746,17.92099",0,18,14
1737617073,2025-01-23T07:24:33Z,NSZ2603,"59.648952,17.921059",0,19,11
1737617075,2025-01-23T07:24:35Z,NSZ2603,"59.649158,17.92115",0,21,11
1737617082,2025-01-23T07:24:42Z,NSZ2603,"59.649895,17.921425",0,24,11
1737617089,2025-01-23T07:24:49Z,NSZ2603,"59.650791,17.921732",0,27,11
1737617097,2025-01-23T07:24:57Z,NSZ2603,"59.651722,17.922089",0,28,11
1737617103,2025-01-23T07:25:03Z,NSZ2603,"59.652569,17.922386",0,29,11
1737617111,2025-01-23T07:25:11Z,NSZ2603,"59.653633,17.922775",0,30,11
1737617118,2025-01-23T07:25:18Z,NSZ2603,"59.654633,17.923128",0,29,11
1737617125,2025-01-23T07:25:25Z,NSZ2603,"59.65546,17.923437",0,24,11
1737617133,2025-01-23T07:25:33Z,NSZ2603,"59.656185,17.923691",0,19,11
1737617141,2025-01-23T07:25:41Z,NSZ2603,"59.656822,17.923933",0,18,11
1737617148,2025-01-23T07:25:48Z,NSZ2603,"59.657478,17.924149",0,19,11
1737617155,2025-01-23T07:25:55Z,NSZ2603,"59.658089,17.92436",0,17,11
1737617162,2025-01-23T07:26:02Z,NSZ2603,"59.658566,17.924538",0,13,11
1737617170,2025-01-23T07:26:10Z,NSZ2603,"59.658943,17.924698",0,9,11
1737617176,2025-01-23T07:26:16Z,NSZ2603,"59.659172,17.924763",0,7,11
1737617186,2025-01-23T07:26:26Z,NSZ2603,"59.659412,17.924858",0,5,11
1737617200,2025-01-23T07:26:40Z,NSZ2603,"59.659626,17.924929",0,2,11
1737617308,2025-01-23T07:28:28Z,NSZ2603,"59.659836,17.924999",0,0,11
1737617319,2025-01-23T07:28:39Z,NSZ2603,"59.660057,17.92507",0,4,11
1737617329,2025-01-23T07:28:49Z,NSZ2603,"59.660271,17.925156",0,5,11
1737617339,2025-01-23T07:28:59Z,NSZ2603,"59.660488,17.925236",0,5,11
1737617349,2025-01-23T07:29:09Z,NSZ2603,"59.660694,17.925316",0,4,11
1737617366,2025-01-23T07:29:26Z,NSZ2603,"59.660904,17.925379",0,4,11
1737617376,2025-01-23T07:29:36Z,NSZ2603,"59.661114,17.925449",0,5,11
1737617385,2025-01-23T07:29:45Z,NSZ2603,"59.661335,17.925522",0,5,11
1737617395,2025-01-23T07:29:55Z,NSZ2603,"59.661545,17.925615",0,5,11
1737617403,2025-01-23T07:30:03Z,NSZ2603,"59.661747,17.925682",0,5,11
1737617414,2025-01-23T07:30:14Z,NSZ2603,"59.661953,17.925751",0,4,11
1737617425,2025-01-23T07:30:25Z,NSZ2603,"59.66217,17.925842",0,5,11
1737617436,2025-01-23T07:30:36Z,NSZ2603,"59.662388,17.925911",0,4,11
1737617446,2025-01-23T07:30:46Z,NSZ2603,"59.662594,17.926003",0,5,11
1737617455,2025-01-23T07:30:55Z,NSZ2603,"59.662804,17.926088",0,6,11
1737617463,2025-01-23T07:31:03Z,NSZ2603,"59.663036,17.926184",0,6,11
1737617471,2025-01-23T07:31:11Z,NSZ2603,"59.663246,17.926254",0,5,11
1737617523,2025-01-23T07:32:03Z,NSZ2603,"59.663452,17.926323",0,0,11
1737617554,2025-01-23T07:32:34Z,NSZ2603,"59.663666,17.92642",0,1,11
1737617574,2025-01-23T07:32:54Z,NSZ2603,"59.663872,17.926491",0,3,11
1737617588,2025-01-23T07:33:08Z,NSZ2603,"59.664104,17.926552",0,4,8
1737617598,2025-01-23T07:33:18Z,NSZ2603,"59.664322,17.926575",0,5,2
1737617606,2025-01-23T07:33:26Z,NSZ2603,"59.664528,17.926529",0,6,354
1737617616,2025-01-23T07:33:36Z,NSZ2603,"59.664734,17.926443",0,3,348
1737617634,2025-01-23T07:33:54Z,NSZ2603,"59.664944,17.926325",0,3,343
1737617649,2025-01-23T07:34:09Z,NSZ2603,"59.665157,17.926186",0,4,343
1737617662,2025-01-23T07:34:22Z,NSZ2603,"59.665363,17.926025",0,4,340
1737617687,2025-01-23T07:34:47Z,NSZ2603,"59.665573,17.9259",0,2,340
1737617700,2025-01-23T07:35:00Z,NSZ2603,"59.665783,17.925734",0,5,340
1737617708,2025-01-23T07:35:08Z,NSZ2603,"59.665981,17.925472",0,8,323
1737617711,2025-01-23T07:35:11Z,NSZ2603,"59.666061,17.92527",0,9,312
1737617714,2025-01-23T07:35:14Z,NSZ2603,"59.666107,17.92507",0,9,300
1737617717,2025-01-23T07:35:17Z,NSZ2603,"59.666153,17.924789",0,10,286
1737617719,2025-01-23T07:35:19Z,NSZ2603,"59.666164,17.924561",0,10,281
1737617722,2025-01-23T07:35:22Z,NSZ2603,"59.666187,17.924332",0,11,278
1737617725,2025-01-23T07:35:25Z,NSZ2603,"59.66621,17.924011",0,10,278
1737617729,2025-01-23T07:35:29Z,NSZ2603,"59.666225,17.923792",0,7,275
1737617735,2025-01-23T07:35:35Z,NSZ2603,"59.666153,17.923576",0,4,236
1737617820,2025-01-23T07:37:00Z,NSZ2603,"59.665752,17.923531",0,19,188
1737617827,2025-01-23T07:37:07Z,NSZ2603,"59.664654,17.923128",0,48,191
1737617834,2025-01-23T07:37:14Z,NSZ2603,"59.662342,17.922295",0,82,188
1737617841,2025-01-23T07:37:21Z,NSZ2603,"59.659252,17.921164",325,110,190
1737617849,2025-01-23T07:37:29Z,NSZ2603,"59.654572,17.919434",300,137,190
1737617858,2025-01-23T07:37:38Z,NSZ2603,"59.648712,17.917328",475,147,190
1737617866,2025-01-23T07:37:46Z,NSZ2603,"59.643219,17.915497",775,146,189
