Date,FlightNumber,FromCity,From,FromICAO,FromIATA,ToIATA,ToICAO,ToCity,To,Departure,Arrival,ActualDeparture,ActualArrival,Duration,Airline,AirlineICAO,AirlineIATA,AirlineColor,Aircraft,Registration,Seat,Seat type,Class,Reason,IsInternational,TicketPrice,DepartureTraffic,ArrivalTraffic,GoArounds,PathFile,Hour,DayOfWeek,LinearDistance,FirstOnRadar,ActualDistance,FlightTime,LastOnRadar,DepTemp,DepFeels,DepFeelsMin,DepHumidity,DepWind,DepWindMax,DepVis,DepVisMin,DepCeil,DepCeilMin,DepRain,DepRainMax,DepPressure,DepWXRain,DepWXStorm,DepWXSnow,DepWXFog,DepWXViscinity,ArrTemp,ArrFeels,ArrFeelsMin,ArrHumidity,ArrWind,ArrWindMax,ArrVis,ArrVisMin,ArrCeil,ArrCeilMin,ArrRain,ArrRainMax,ArrPressure,ArrWXRain,ArrWXStorm,ArrWXSnow,ArrWXFog,ArrWXViscinity,DepartureDelay,ArrivalDelay
2023-08-02,PC1854,Adana, Şakirpaşa,LTAF,ADA,ECN,LCEN,Nicosia, Ercan,1690980000,1690983000,1690983561.0,1690985632.0,3000,Pegasus,PGT,PC,#ff8c00,Airbus A320neo (A20N),TC-NBN,,1,1,4,1,600.0,0.0,0.0,0.0,23-08-02-PC1854,15,2,259.40057126349194,1690983044.0,288.2923013628204,2071.0,1690985632.0,33.25,39.58,39.25,58.432500000000005,10.0,11.0,6.21,6.21,100000.0,100000.0,0.0,0.0,29.71,0.0,0.0,0.0,0.0,0.0,37.666666666666664,37.56333333333333,36.61,25.41,15.666666666666666,19.0,6.21,6.21,100000.0,100000.0,0.0,0.0,29.72,0.0,0.0,0.0,0.0,0.0,3561.0,2632.0
2023-08-05,PC1853,Nicosia, Ercan,LCEN,ECN,ADA,LTAF,Adana, Şakirpaşa,1691234400,1691237100,1691234628.0,1691236556.0,2700,Pegasus,PGT,PC,#ff8c00,Airbus A320-200 (A320),TC-DCL,,1,1,4,1,600.0,2.0,1.0,0.0,23-08-05-PC1853,14,5,259.91894202883594,1691234037.0,276.4974185665016,1928.0,1691236556.0,39.0,40.39,39.76,27.68,14.5,15.0,6.21,6.21,100000.0,100000.0,0.0,0.0,29.68,0.0,0.0,0.0,0.0,0.0,35.0,41.88,41.88,52.98,9.0,10.0,6.21,6.21,100000.0,100000.0,0.0,0.0,29.65,0.0,0.0,0.0,0.0,0.0,228.0,-544.0
2023-09-02,TK7261,Adana, Şakirpaşa,LTAF,ADA,SAW,LTFJ,İstanbul, Sabiha Gökçen,1693635300,1693640700,1693637007.0,1693641390.0,5400,AnadoluJet,AJA,TK,#216FFF,Boeing 737-700 (B737),TC-JZL,,3,1,1,0,750.0,2.0,4.0,0.0,23-09-02-TK7261,9,5,675.5044191984227,1693636338.0,782.8345301824506,4383.0,1693641390.0,29.666666666666668,34.21333333333333,33.58,70.45,3.6666666666666665,5.0,6.21,6.21,100000.0,100000.0,0.0,0.0,29.810000000000002,0.0,0.0,0.0,0.0,0.0,27.5,28.925,28.19,61.695,17.5,18.0,6.21,6.21,10000.0,10000.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1707.0,690.0
2023-09-07,TK7260,İstanbul, Sabiha Gökçen,LTFJ,SAW,ADA,LTAF,Adana, Şakirpaşa,1694059800,1694064900,1694060482.0,1694064443.0,5100,AnadoluJet,AJA,TK,#216FFF,Boeing 737-700 (B737),TC-JZL,,1,1,1,0,750.0,3.0,0.0,0.0,23-09-07-TK7260,7,3,676.8588058988728,1694058326.0,739.5751694252679,3961.0,1694064443.0,22.0,22.0,22.0,83.09,10.5,11.0,6.21,6.21,100000.0,100000.0,0.0,0.0,30.03,0.0,0.0,0.0,0.0,0.0,27.5,30.14,29.62,74.33000000000001,4.0,4.0,6.21,6.21,100000.0,100000.0,0.0,0.0,29.83,0.0,0.0,0.0,0.0,0.0,682.0,-457.0
2023-09-23,PC2081,Adana, Şakirpaşa,LTAF,ADA,SAW,LTFJ,İstanbul, Sabiha Gökçen,1695445500,1695450900,1695445704.0,1695450101.0,5400,Pegasus,PGT,PC,#ff8c00,Airbus A321neo (A21N),TC-RBO,,1,4,1,0,1800.0,1.0,3.0,0.0,23-09-23-PC2081,8,5,675.7387328147407,1695444914.0,787.4189729581819,4397.0,1695450101.0,25.0,25.0,24.0,81.89666666666666,3.3333333333333335,4.0,6.21,6.21,100000.0,100000.0,0.0,0.0,29.850000000000005,0.0,0.0,0.0,0.0,0.0,24.333333333333332,24.333333333333332,23.0,43.46,3.0,5.0,6.21,6.21,100000.0,100000.0,0.0,0.0,30.03,0.0,0.0,0.0,0.0,0.0,204.0,-799.0
2023-10-27,PC2094,İstanbul, Sabiha Gökçen,LTFJ,SAW,ADA,LTAF,Adana, Şakirpaşa,1698420600,1698426000,1698422525.0,1698426743.0,5400,Pegasus,PGT,PC,#ff8c00,Airbus A321neo (A21N),TC-RBZ,,1,4,1,0,1350.0,5.0,1.0,0.0,23-10-27-PC2094,18,4,676.1630541189402,1698420709.0,793.84086451618,4218.0,1698426743.0,24.5,24.5,24.0,52.980000000000004,14.5,16.0,6.21,6.21,100000.0,100000.0,0.0,0.0,29.7175,0.0,0.0,0.0,0.0,0.0,22.666666666666668,22.666666666666668,22.0,70.38333333333333,3.0,4.0,6.21,6.21,100000.0,100000.0,0.0,0.0,29.88,0.0,0.0,0.0,0.0,0.0,1925.0,743.0
2023-10-29,PC2095,Adana, Şakirpaşa,LTAF,ADA,SAW,LTFJ,İstanbul, Sabiha Gökçen,1698601200,1698606900,1698601805.0,1698607182.0,5700,Pegasus,PGT,PC,#ff8c00,Airbus A321neo (A21N),TC-RBR,,1,4,1,0,1350.0,1.0,12.0,0.0,23-10-29-PC2095,20,6,675.4947189335461,1698601107.0,880.3552847768559,5377.0,1698607182.0,22.5,22.5,22.0,62.575,1.0,2.0,6.21,6.21,100000.0,100000.0,0.0,0.0,29.925,0.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0,88.18,10.0,11.0,6.21,6.21,100000.0,100000.0,0.0,0.0,30.08,0.0,0.0,0.0,0.0,0.0,605.0,282.0
2023-12-15,TK7262,İstanbul, Sabiha Gökçen,LTFJ,SAW,ADA,LTAF,Adana, Şakirpaşa,1702661100,1702666500,1702664068.0,1702668102.0,5400,AnadoluJet,AJA,TK,#216FFF,Boeing 737-800 (B738),TC-JZV,,1,4,1,0,1375.0,13.0,0.0,0.0,23-12-15-TK7262,20,4,676.9477058685371,1702661004.0,753.0680207069877,4034.0,1702668102.0,10.0,10.0,10.0,93.5,16.0,16.0,6.21,6.21,525.0,500.0,0.0,0.0,30.15,0.5,0.0,0.0,0.0,0.0,14.666666666666666,14.666666666666666,14.0,84.08,3.6666666666666665,4.0,2.4033333333333338,1.74,100000.0,100000.0,0.0,0.0,30.209999999999997,0.0,0.0,0.0,2.0,0.0,2968.0,1602.0
2023-12-17,TK7265,Adana, Şakirpaşa,LTAF,ADA,SAW,LTFJ,İstanbul, Sabiha Gökçen,1702816800,1702822500,1702818006.0,1702822489.0,5700,AnadoluJet,AJA,TK,#216FFF,Boeing 737 MAX 8 (B38M),TC-LAE,,1,4,1,0,1375.0,1.0,4.0,0.0,23-12-17-TK7265,15,6,675.8474277175249,1702816857.0,774.5208771441228,4483.0,1702822489.0,21.333333333333332,21.333333333333332,21.0,55.26333333333333,1.6666666666666667,2.0,6.21,6.21,100000.0,100000.0,0.0,0.0,30.149999999999995,0.0,0.0,0.0,0.0,0.0,7.666666666666667,4.213333333333334,3.55,62.723333333333336,12.0,13.0,6.21,6.21,100000.0,100000.0,0.0,0.0,30.59,0.0,0.0,0.0,0.0,0.0,1206.0,-11.0
2023-12-28,TK7266,İstanbul, Sabiha Gökçen,LTFJ,SAW,ADA,LTAF,Adana, Şakirpaşa,1703780100,1703785500,1703781006.0,1703785206.0,5400,AnadoluJet,AJA,TK,#216FFF,Boeing 737-800 (B738),TC-JGA,,1,4,1,0,1900.0,3.0,0.0,0.0,23-12-28-TK7266,19,3,676.988476932605,1703778683.0,783.8729845947909,4200.0,1703785206.0,11.0,11.0,11.0,74.64666666666668,2.6666666666666665,5.0,6.21,6.21,100000.0,100000.0,0.0,0.0,30.3,0.0,0.0,0.0,0.0,0.0,13.0,13.0,13.0,74.98666666666666,0.6666666666666666,2.0,2.09,2.05,100000.0,100000.0,0.0,0.0,30.189999999999998,0.0,0.0,0.0,2.0,0.0,906.0,-294.0
