station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
EFHK,2025-01-22 00:20,26.60,24.80,92.80,120.00,11.00,0.00,29.94,,6.21,,OVC,,,,700.00,,,,-SN,,,,,,,15.64,EFHK 220020Z 12011KT 9999 -SN OVC007 M03/M04 Q1014 TEMPO 7000,
EFHK,2025-01-22 00:50,28.40,24.80,86.18,120.00,9.00,0.00,29.94,,6.21,,OVC,,,,700.00,,,,-SN,,,,,,,19.04,EFHK 220050Z 12009KT 9999 -SN OVC007 M02/M04 Q1014 TEMPO 7000,
EFHK,2025-01-22 01:20,28.40,26.60,92.86,130.00,10.00,0.00,29.94,,6.21,,OVC,,,,700.00,,,,-SN,,,,,,,18.45,EFHK 220120Z 13010KT 9999 -SN OVC007 M02/M03 Q1014 TEMPO 7000,
EFHK,2025-01-22 01:50,28.40,26.60,92.86,120.00,8.00,0.00,29.91,,2.49,,OVC,,,,700.00,,,,-SN,,,,,,,19.68,EFHK 220150Z 12008KT 090V150 4000 -SN OVC007 M02/M03 Q1013 TEMPO 2500,
EFHK,2025-01-22 02:20,28.40,26.60,92.86,120.00,6.00,0.00,29.91,,1.55,,FEW,OVC,,,500.00,600.00,,,-SN,,,,,,,21.19,EFHK 220220Z 12006KT 2500 -SN FEW005 OVC006 M02/M03 Q1013 TEMPO 4000,
EFHK,2025-01-22 02:50,28.40,26.60,92.86,120.00,8.00,0.00,29.91,,2.49,,OVC,,,,600.00,,,,-SN,,,,,,,19.68,EFHK 220250Z 12008KT 4000 -SN OVC006 M02/M03 Q1013 TEMPO 2500,
EFHK,2025-01-22 03:20,28.40,28.40,100.00,120.00,7.00,0.00,29.88,,4.97,,OVC,,,,600.00,,,,-SN,,,,,,,20.39,EFHK 220320Z 12007KT 8000 -SN OVC006 M02/M02 Q1012 TEMPO 6000,
EFHK,2025-01-22 03:50,28.40,28.40,100.00,120.00,5.00,0.00,29.88,,4.35,,OVC,,,,500.00,,,,-FZDZ,,,,,,,22.12,EFHK 220350Z 12005KT 7000 -FZDZ OVC005 M02/M02 Q1012 TEMPO BKN004,
EFHK,2025-01-22 04:20,30.20,28.40,92.92,130.00,6.00,0.00,29.88,,1.74,,OVC,,,,300.00,,,,-FZDZ,,,,,,,23.36,EFHK 220420Z 13006KT 2800 -FZDZ OVC003 M01/M02 Q1012 TEMPO 4000,
EFHK,2025-01-22 04:50,30.20,28.40,92.92,150.00,8.00,0.00,29.85,,4.35,,OVC,,,,300.00,,,,-SN,,,,,,,21.90,EFHK 220450Z 15008KT 7000 -SN OVC003 M01/M02 Q1011 REFZDZ TEMPO 4000 -FZDZ,
EFHK,2025-01-22 05:20,30.20,28.40,92.92,150.00,8.00,0.00,29.85,,2.49,,OVC,,,,400.00,,,,-SN,,,,,,,21.90,EFHK 220520Z 15008KT 4000 -SN OVC004 M01/M02 Q1011 TEMPO -FZDZ,
EFHK,2025-01-22 05:50,30.20,30.20,100.00,140.00,8.00,0.00,29.83,,2.49,,OVC,,,,400.00,,,,-SN,,,,,,,21.90,EFHK 220550Z 14008KT 4000 -SN OVC004 M01/M01 Q1010 TEMPO 2500 -FZDZ,
EFHK,2025-01-22 06:20,30.20,30.20,100.00,150.00,9.00,0.00,29.83,,2.49,,OVC,,,,400.00,,,,-SN,,,,,,,21.28,EFHK 220620Z 15009KT 4000 -SN OVC004 M01/M01 Q1010 TEMPO 5000 -FZDZ,
EFHK,2025-01-22 06:50,32.00,30.20,92.97,160.00,8.00,0.00,29.83,,3.73,,OVC,,,,300.00,,,,-FZDZSN,,,,,,,24.11,EFHK 220650Z 16008KT 6000 -FZDZSN OVC003 M00/M01 Q1010 TEMPO 4000,
EFHK,2025-01-22 07:20,32.00,30.20,92.97,150.00,7.00,0.00,29.83,,2.49,,OVC,,,,400.00,,,,-SN,,,,,,,24.78,EFHK 220720Z 15007KT 4000 -SN OVC004 M00/M01 Q1010 TEMPO 5000 FZDZSN,
