station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
ENGM,2025-01-11 00:20,23.00,17.60,79.47,360.00,8.00,0.00,30.06,,6.21,,,,,,,,,,,,,,,,,13.03,ENGM 110020Z 36008KT CAVOK M05/M08 Q1018,
ENGM,2025-01-11 00:50,15.80,12.20,85.40,20.00,9.00,0.00,30.06,,6.21,,,,,,,,,,,,,,,,,3.37,ENGM 110050Z 02009KT CAVOK M09/M11 Q1018,
ENGM,2025-01-11 01:20,19.40,15.80,85.63,10.00,12.00,0.00,30.06,,6.21,,,,,,,,,,,,,,,,,5.97,ENGM 110120Z 01012KT CAVOK M07/M09 Q1018,
ENGM,2025-01-11 01:50,17.60,14.00,85.51,20.00,9.00,0.00,30.06,,6.21,,,,,,,,,,,,,,,,,5.61,ENGM 110150Z 02009KT CAVOK M08/M10 Q1018,
ENGM,2025-01-11 02:20,17.60,14.00,85.51,10.00,9.00,0.00,30.06,,6.21,,,,,,,,,,,,,,,,,5.61,ENGM 110220Z 01009KT CAVOK M08/M10 Q1018,
ENGM,2025-01-11 02:50,15.80,12.20,85.40,360.00,8.00,0.00,30.06,,6.21,,,,,,,,,,,,,,,,,4.16,ENGM 110250Z 36008KT CAVOK M09/M11 Q1018,
ENGM,2025-01-11 03:20,21.20,15.80,79.31,360.00,7.00,0.00,30.06,,6.21,,,,,,,,,,,,,,,,,11.61,ENGM 110320Z 36007KT CAVOK M06/M09 Q1018,
ENGM,2025-01-11 03:50,24.80,19.40,79.62,350.00,10.00,0.00,30.06,,6.21,,,,,,,,,,,,,,,,,13.94,ENGM 110350Z 35010KT CAVOK M04/M07 Q1018,
ENGM,2025-01-11 04:20,23.00,17.60,79.47,360.00,8.00,0.00,30.09,,6.21,,,,,,,,,,,,,,,,,13.03,ENGM 110420Z 36008KT CAVOK M05/M08 Q1019,
ENGM,2025-01-11 04:50,24.80,19.40,79.62,360.00,10.00,0.00,30.09,,6.21,,,,,,,,,,,,,,,,,13.94,ENGM 110450Z 36010KT CAVOK M04/M07 Q1019 NOSIG,
ENGM,2025-01-11 05:20,24.80,19.40,79.62,350.00,11.00,0.00,30.09,,6.21,,,,,,,,,,,,,,,,,13.37,ENGM 110520Z 35011KT CAVOK M04/M07 Q1019 NOSIG,
ENGM,2025-01-11 05:50,24.80,19.40,79.62,360.00,11.00,0.00,30.09,,6.21,,,,,,,,,,,,,,,,,13.37,ENGM 110550Z 36011KT CAVOK M04/M07 Q1019 NOSIG,
