station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
ENTC,1736900400,37.4,30.2,74.98,180.0,12.0,0.0,29.8,,6.21,,BKN,OVC,,,2600.0,3300.0,,,,,,,,,,28.87,ENTC 150020Z AUTO 18012KT 9999 BKN026/// OVC033/// 03/M01 Q1009 RMK WIND 2600FT 20017KT,
ENTC,1736902200,37.4,30.2,74.98,180.0,13.0,0.0,29.8,,6.21,,OVC,,,,2500.0,,,,,,,,,,,28.49,ENTC 150050Z AUTO 18013KT 9999 OVC025/// 03/M01 Q1009 RMK WIND 2600FT 19021KT,
ENTC,1736904000,37.4,30.2,74.98,180.0,14.0,0.0,29.77,,6.21,,OVC,,,,2400.0,,,,,,,,,,,28.12,ENTC 150120Z AUTO 18014KT 9999 OVC024/// 03/M01 Q1008 RMK WIND 2600FT 19027KT,
ENTC,1736905800,37.4,30.2,74.98,180.0,14.0,0.0,29.74,,6.21,,BKN,OVC,,,2600.0,3300.0,,,,,,,,,,28.12,ENTC 150150Z AUTO 18014KT 9999 BKN026/// OVC033/// 03/M01 Q1007 RMK WIND 2600FT 19030KT,
ENTC,1736907600,37.4,30.2,74.98,190.0,14.0,0.0,29.74,,6.21,,BKN,OVC,,,2900.0,3600.0,,,,,,,,,,28.12,ENTC 150220Z AUTO 19014KT 9999 BKN029/// OVC036/// 03/M01 Q1007 RMK WIND 2600FT 19030KT,
ENTC,1736909400,37.4,30.2,74.98,180.0,14.0,0.0,29.71,,6.21,,BKN,BKN,,,3000.0,3600.0,,,,,,,,,,28.12,ENTC 150250Z AUTO 18014KT 9999 BKN030/// BKN036/// 03/M01 Q1006 RMK WIND 2600FT 19030KT,
ENTC,1736911200,37.4,30.2,74.98,180.0,14.0,0.0,29.71,,6.21,,OVC,,,,3100.0,,,,,,,,,,,28.12,ENTC 150320Z AUTO 18014KT 9999 OVC031/// 03/M01 Q1006 RMK WIND 2600FT 18030KT,
ENTC,1736913000,37.4,30.2,74.98,180.0,13.0,0.0,29.68,,6.21,,OVC,,,,3500.0,,,,,,,,,,,28.49,ENTC 150350Z AUTO 18013KT 9999 OVC035/// 03/M01 Q1005 RMK WIND 2600FT 18030KT,
ENTC,1736914800,37.4,28.4,69.67,190.0,11.0,0.0,29.68,,6.21,,BKN,BKN,,,3400.0,4100.0,,,,,,,,,,29.29,ENTC 150420Z 19011KT 9999 BKN034 BKN041 03/M02 Q1005 RMK WIND 2600FT 17024KT,
ENTC,1736916600,37.4,28.4,69.67,190.0,15.0,0.0,29.65,,6.21,,BKN,BKN,,,3500.0,4400.0,,,,,,,,,,27.78,ENTC 150450Z 19015KT 9999 BKN035 BKN044 03/M02 Q1004 RMK WIND 2600FT 17024KT,
ENTC,1736918400,37.4,28.4,69.67,190.0,15.0,0.0,29.62,,6.21,,BKN,BKN,,,3600.0,6100.0,,,,,,,,,,27.78,ENTC 150520Z 19015KT 9999 BKN036 BKN061 03/M02 Q1003 RMK WIND 2600FT 16022KT,
ENTC,1736920200,37.4,28.4,69.67,180.0,12.0,0.0,29.59,,6.21,,BKN,,,,3800.0,,,,,,,,,,,28.87,ENTC 150550Z 18012KT 9999 BKN038 03/M02 Q1002 RMK WIND 2600FT 17036KT,
ENTC,1736922000,39.2,28.4,64.93,190.0,10.0,0.0,29.56,,6.21,,BKN,,,,3800.0,,,,,,,,,,,32.0,ENTC 150620Z 19010KT 9999 BKN038 04/M02 Q1001 TEMPO 21023G35KT 2500 +RA BKN004 RMK WIND 2600FT 18040KT,
ENTC,1736923800,39.2,28.4,64.93,180.0,15.0,0.0,29.53,,6.21,,FEW,BKN,,,1600.0,3100.0,,,-SHRA,,,,,,,30.11,ENTC 150650Z 18015KT 9999 -SHRA FEW016 BKN031 04/M02 Q1000 TEMPO 21023G35KT 2500 +RA BKN004 RMK WIND 2600FT 17035G46KT,
ENTC,1736925600,39.2,30.2,69.88,180.0,18.0,0.0,29.47,,6.21,,FEW,BKN,,,1600.0,3200.0,,,-SHRA,,,,,,,29.23,ENTC 150720Z 18018KT 9999 -SHRA FEW016 BKN032 04/M01 Q0998 TEMPO 21023G35KT 2500 +RA BKN004 RMK WIND 2600FT 17031KT,
ENTC,1736927400,39.2,30.2,69.88,190.0,19.0,0.0,29.47,,6.21,,BKN,,,,3200.0,,,,-SHRA,,,,,,,28.96,ENTC 150750Z 19019KT 9999 -SHRA BKN032 04/M01 Q0998 TEMPO RA BKN014 RMK WIND 2600FT 18037KT,
ENTC,1736929200,39.2,32.0,75.16,180.0,16.0,0.0,29.41,,6.21,,BKN,,,,2900.0,,,,-DZ,,,,,,,29.8,ENTC 150820Z 18016KT 9999 -DZ BKN029 04/M00 Q0996 TEMPO RA BKN014 RMK WIND 2600FT 18043G53KT,
ENTC,1736931000,39.2,32.0,75.16,190.0,16.0,0.0,29.38,,6.21,,FEW,BKN,,,1800.0,2500.0,,,-RA,,,,,,,29.8,ENTC 150850Z 19016KT 9999 -RA FEW018 BKN025 04/00 Q0995 TEMPO RA BKN014 RMK WIND 2600FT 17050KT,
ENTC,1736932800,37.4,33.8,86.69,180.0,17.0,0.0,29.35,,5.59,,FEW,BKN,,,1800.0,2500.0,,,-RA,,,,,,,27.15,ENTC 150920Z 18017KT 9000 -RA FEW018 BKN025 03/01 Q0994 TEMPO RA BKN014 RMK WIND 2600FT 17052KT,
