station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
ESSA,2025-01-19 00:20,39.20,39.20,100.00,250.00,10.00,0.00,30.12,,6.21,,OVC,,,,300.00,,,,,,,,,,,32.00,ESSA 190020Z 25010KT 9999 OVC003 04/04 Q1020 NOSIG,
ESSA,2025-01-19 00:50,39.20,39.20,100.00,260.00,10.00,0.00,30.12,,6.21,,OVC,,,,400.00,,,,,,,,,,,32.00,ESSA 190050Z 26010KT 9999 OVC004 04/04 Q1020 NOSIG,
ESSA,2025-01-19 01:20,39.20,39.20,100.00,260.00,10.00,0.00,30.12,,6.21,,OVC,,,,600.00,,,,,,,,,,,32.00,ESSA 190120Z 26010KT 9999 OVC006 04/04 Q1020 NOSIG,
ESSA,2025-01-19 01:50,39.20,39.20,100.00,260.00,11.00,0.00,30.12,,6.21,,OVC,,,,700.00,,,,,,,,,,,31.57,ESSA 190150Z 26011KT 9999 OVC007 04/04 Q1020 NOSIG,
ESSA,2025-01-19 02:20,39.20,37.40,93.19,250.00,13.00,0.00,30.12,,6.21,,OVC,,,,800.00,,,,,,,,,,,30.79,ESSA 190220Z 25013KT 9999 OVC008 04/03 Q1020 NOSIG,
ESSA,2025-01-19 02:50,39.20,37.40,93.19,250.00,14.00,0.00,30.09,,6.21,,OVC,,,,900.00,,,,,,,,,,,30.44,ESSA 190250Z 25014KT 9999 OVC009 04/03 Q1019 NOSIG,
ESSA,2025-01-19 03:20,39.20,35.60,86.79,250.00,14.00,0.00,30.09,,6.21,,BKN,,,,900.00,,,,,,,,,,,30.44,ESSA 190320Z 25014KT 9999 BKN009 04/02 Q1019 TEMPO BKN010,
ESSA,2025-01-19 03:50,39.20,35.60,86.79,260.00,15.00,0.00,30.09,,6.21,,BKN,,,,1000.00,,,,,,,,,,,30.11,ESSA 190350Z 26015KT 9999 BKN010 04/02 Q1019 TEMPO BKN010,
ESSA,2025-01-19 04:20,37.40,35.60,93.14,250.00,15.00,0.00,30.09,,6.21,,BKN,,,,900.00,,,,,,,,,,,27.78,ESSA 190420Z 25015KT 9999 BKN009 03/02 Q1019 TEMPO BKN010,
ESSA,2025-01-19 04:50,39.20,35.60,86.79,250.00,13.00,0.00,30.06,,6.21,,OVC,,,,900.00,,,,,,,,,,,30.79,ESSA 190450Z 25013KT 9999 OVC009 04/02 Q1018 TEMPO BKN010,
ESSA,2025-01-19 05:20,37.40,35.60,93.14,250.00,14.00,0.00,30.06,,6.21,,BKN,,,,900.00,,,,,,,,,,,28.12,ESSA 190520Z 25014KT 9999 BKN009 03/02 Q1018 TEMPO BKN010,
ESSA,2025-01-19 05:50,37.40,35.60,93.14,250.00,15.00,0.00,30.06,,6.21,,BKN,,,,900.00,,,,,,,,,,,27.78,ESSA 190550Z 25015KT 9999 BKN009 03/02 Q1018 TEMPO BKN010,
ESSA,2025-01-19 06:20,37.40,35.60,93.14,250.00,14.00,0.00,30.06,,6.21,,BKN,,,,800.00,,,,,,,,,,,28.12,ESSA 190620Z 25014KT 9999 BKN008 03/02 Q1018 TEMPO BKN010,
ESSA,2025-01-19 06:50,39.20,35.60,86.79,250.00,16.00,0.00,30.06,,6.21,,BKN,,,,800.00,,,,,,,,,,,29.80,ESSA 190650Z 25016KT 9999 BKN008 04/02 Q1018 TEMPO BKN010,
ESSA,2025-01-19 07:20,39.20,35.60,86.79,250.00,16.00,0.00,30.06,,6.21,,OVC,,,,800.00,,,,,,,,,,,29.80,ESSA 190720Z 25016KT 9999 OVC008 04/02 Q1018 TEMPO BKN010,
ESSA,2025-01-19 07:50,39.20,37.40,93.19,260.00,17.00,0.00,30.06,,6.21,,BKN,,,,800.00,,,,,,,,,,,29.51,ESSA 190750Z 26017KT 9999 BKN008 04/03 Q1018 TEMPO BKN010,
ESSA,2025-01-19 08:20,39.20,37.40,93.19,270.00,12.00,0.00,30.06,,6.21,,BKN,,,,800.00,,,,,,,,,,,31.17,ESSA 190820Z 27012KT 9999 BKN008 04/03 Q1018 TEMPO BKN010,
ESSA,2025-01-19 08:50,39.20,35.60,86.79,270.00,15.00,0.00,30.06,,6.21,,BKN,,,,800.00,,,,,,,,,,,30.11,ESSA 190850Z 27015KT 9999 BKN008 04/02 Q1018 TEMPO BKN010,
ESSA,2025-01-19 09:20,37.40,35.60,93.14,270.00,13.00,0.00,30.06,,6.21,,BKN,,,,800.00,,,,,,,,,,,28.49,ESSA 190920Z 27013KT 9999 BKN008 03/02 Q1018 TEMPO BKN010,
ESSA,2025-01-19 09:50,37.40,35.60,93.14,270.00,15.00,0.00,30.06,,6.21,,OVC,,,,900.00,,,,,,,,,,,27.78,ESSA 190950Z 27015KT 9999 OVC009 03/02 Q1018 TEMPO BKN010,
ESSA,2025-01-19 10:20,39.20,35.60,86.79,270.00,13.00,0.00,30.06,,6.21,,OVC,,,,900.00,,,,,,,,,,,30.79,ESSA 191020Z 27013KT 9999 OVC009 04/02 Q1018 TEMPO BKN010,
ESSA,2025-01-19 10:50,39.20,35.60,86.79,270.00,12.00,0.00,30.06,,6.21,,BKN,,,,900.00,,,,,,,,,,,31.17,ESSA 191050Z 27012KT 9999 BKN009 04/02 Q1018 TEMPO BKN010,
ESSA,2025-01-19 11:20,39.20,35.60,86.79,260.00,14.00,0.00,30.06,,6.21,,BKN,,,,900.00,,,,,,,,,,,30.44,ESSA 191120Z 26014KT 9999 BKN009 04/02 Q1018 TEMPO BKN010,
ESSA,2025-01-19 11:50,39.20,33.80,80.79,280.00,11.00,0.00,30.09,,6.21,,BKN,,,,1000.00,,,,,,,,,,,31.57,ESSA 191150Z 28011KT 9999 BKN010 04/01 Q1019 TEMPO SCT010,
ESSA,2025-01-19 12:20,39.20,33.80,80.79,280.00,12.00,0.00,30.06,,6.21,,BKN,,,,1100.00,,,,,,,,,,,31.17,ESSA 191220Z 28012KT 9999 BKN011 04/01 Q1018 TEMPO SCT010,
ESSA,2025-01-19 12:50,39.20,35.60,86.79,280.00,11.00,0.00,30.06,,6.21,,SCT,,,,1200.00,,,,,,,,,,,31.57,ESSA 191250Z 28011KT 9999 SCT012 04/02 Q1018 TEMPO SCT010,
ESSA,2025-01-19 13:20,37.40,33.80,86.69,260.00,10.00,0.00,30.06,,6.21,,FEW,,,,1200.00,,,,,,,,,,,29.74,ESSA 191320Z 26010KT 9999 FEW012 03/01 Q1018 TEMPO SCT010,
ESSA,2025-01-19 13:50,37.40,33.80,86.69,270.00,9.00,0.00,30.06,,6.21,,,,,,,,,,,,,,,,,30.23,ESSA 191350Z 27009KT CAVOK 03/01 Q1018 NOSIG,
ESSA,2025-01-19 14:20,35.60,33.80,93.08,270.00,8.00,0.00,30.09,,6.21,,,,,,,,,,,,,,,,,28.55,ESSA 191420Z 27008KT CAVOK 02/01 Q1019 NOSIG,
ESSA,2025-01-19 14:50,37.40,33.80,86.69,260.00,7.00,0.00,30.09,,6.21,,,,,,,,,,,,,,,,,31.36,ESSA 191450Z 26007KT CAVOK 03/01 Q1019 NOSIG,
ESSA,2025-01-19 15:20,35.60,32.00,86.59,260.00,7.00,0.00,30.09,,6.21,,,,,,,,,,,,,,,,,29.17,ESSA 191520Z 26007KT CAVOK 02/00 Q1019 NOSIG,
ESSA,2025-01-19 15:50,35.60,33.80,93.08,260.00,6.00,0.00,30.12,,6.21,,,,,,,,,,,,,,,,,29.87,ESSA 191550Z 26006KT CAVOK 02/01 Q1020 NOSIG,
ESSA,2025-01-19 16:20,33.80,32.00,93.03,270.00,6.00,0.00,30.12,,6.21,,,,,,,,,,,,,,,,,27.70,ESSA 191620Z 27006KT CAVOK 01/M00 Q1020 NOSIG,
ESSA,2025-01-19 16:50,32.00,32.00,100.00,270.00,5.00,0.00,30.12,,6.21,,,,,,,,,,,,,,,,,26.40,ESSA 191650Z 27005KT CAVOK 00/M00 Q1020 NOSIG,
ESSA,2025-01-19 17:20,32.00,32.00,100.00,270.00,6.00,0.00,30.12,,6.21,,,,,,,,,,,,,,,,,25.53,ESSA 191720Z 27006KT CAVOK 00/M00 Q1020 NOSIG,
ESSA,2025-01-19 17:50,32.00,32.00,100.00,250.00,7.00,0.00,30.15,,6.21,,,,,,,,,,,,,,,,,24.78,ESSA 191750Z 25007KT CAVOK M00/M00 Q1021 NOSIG,
ESSA,2025-01-19 18:20,32.00,32.00,100.00,280.00,5.00,0.00,30.15,,6.21,,,,,,,,,,,,,,,,,26.40,ESSA 191820Z 28005KT CAVOK 00/M00 Q1021 NOSIG,
ESSA,2025-01-19 18:50,33.80,32.00,93.03,280.00,6.00,0.00,30.15,,6.21,,,,,,,,,,,,,,,,,27.70,ESSA 191850Z 28006KT CAVOK 01/00 Q1021 NOSIG,
