station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
HECA,2024-08-19 00:00,82.40,71.60,69.90,340.00,3.00,0.00,29.77,,2.49,,NSC,,,,,,,,HZ,,,,,,,87.18,HECA 190000Z 34003KT 4000 HZ NSC 28/22 Q1008,
HECA,2024-08-19 00:30,82.40,71.60,69.90,360.00,5.00,0.00,29.77,,2.49,,NSC,,,,,,,,HZ,,,,,,,87.18,HECA 190030Z 36005KT 4000 HZ NSC 28/22 Q1008 NOSIG,
HECA,2024-08-19 01:00,80.60,71.60,74.11,360.00,4.00,0.00,29.77,,2.49,,NSC,,,,,,,,HZ,,,,,,,84.57,HECA 190100Z 36004KT 4000 HZ NSC 27/22 Q1008 NOSIG,
HECA,2024-08-19 01:30,80.60,71.60,74.11,350.00,4.00,0.00,29.77,,2.49,,NSC,,,,,,,,HZ,,,,,,,84.57,HECA 190130Z 35004KT 4000 HZ NSC 27/22 Q1008 NOSIG,
HECA,2024-08-19 02:00,80.60,71.60,74.11,330.00,4.00,0.00,29.77,,3.73,,NSC,,,,,,,,,,,,,,,84.57,HECA 190200Z 33004KT 6000 NSC 27/22 Q1008 NOSIG,
HECA,2024-08-19 02:30,80.60,71.60,74.11,330.00,4.00,0.00,29.77,,3.73,,NSC,,,,,,,,,,,,,,,84.57,HECA 190230Z 33004KT 6000 NSC 27/22 Q1008 NOSIG,
HECA,2024-08-19 03:00,78.80,71.60,78.62,360.00,4.00,0.00,29.77,,3.73,,NSC,,,,,,,,,,,,,,,78.80,HECA 190300Z 36004KT 6000 NSC 26/22 Q1008 NOSIG,
HECA,2024-08-19 03:30,78.80,71.60,78.62,360.00,4.00,0.00,29.77,,3.73,,NSC,,,,,,,,,,,,,,,78.80,HECA 190330Z 36004KT 6000 NSC 26/22 Q1008 NOSIG,
HECA,2024-08-19 04:00,78.80,71.60,78.62,360.00,3.00,0.00,29.80,,3.73,,NSC,,,,,,,,,,,,,,,78.80,HECA 190400Z 36003KT 6000 NSC 26/22 Q1009 NOSIG,
HECA,2024-08-19 04:30,78.80,71.60,78.62,360.00,3.00,0.00,29.77,,3.73,,NSC,,,,,,,,,,,,,,,78.80,HECA 190430Z 36003KT 6000 NSC 26/22 Q1008 NOSIG,
HECA,2024-08-19 05:00,80.60,71.60,74.11,340.00,3.00,0.00,29.80,,3.73,,NSC,,,,,,,,,,,,,,,84.57,HECA 190500Z 34003KT 6000 NSC 27/22 Q1009 NOSIG,
HECA,2024-08-19 05:30,80.60,71.60,74.11,40.00,3.00,0.00,29.80,,3.73,,NSC,,,,,,,,,,,,,,,84.57,HECA 190530Z 04003KT 6000 NSC 27/22 Q1009 NOSIG,
HECA,2024-08-19 06:00,80.60,71.60,74.11,40.00,3.00,0.00,29.80,,3.73,,FEW,,,,2500.00,,,,,,,,,,,84.57,HECA 190600Z 04003KT 6000 FEW025 27/22 Q1009 NOSIG,
HECA,2024-08-19 06:30,82.40,71.60,69.90,60.00,2.00,0.00,29.80,,3.73,,FEW,,,,2500.00,,,,,,,,,,,87.18,HECA 190630Z 06002KT 6000 FEW025 28/22 Q1009 NOSIG,
HECA,2024-08-19 07:00,84.20,73.40,70.08,0.00,0.00,0.00,29.80,,3.73,,FEW,,,,2500.00,,,,,,,,,,,90.94,HECA 190700Z 00000KT 6000 FEW025 29/23 Q1009 NOSIG,
HECA,2024-08-19 07:30,84.20,71.60,65.95,300.00,3.00,0.00,29.83,,3.73,,FEW,,,,2500.00,,,,,,,,,,,89.60,HECA 190730Z 30003KT 6000 FEW025 29/22 Q1010 NOSIG,
HECA,2024-08-19 08:00,86.00,66.20,51.72,320.00,3.00,0.00,29.83,,3.73,,FEW,,,,2500.00,,,,,,,,,,,88.39,HECA 190800Z 32003KT 6000 FEW025 30/19 Q1010 NOSIG,
HECA,2024-08-19 08:30,87.80,64.40,45.88,290.00,3.00,0.00,29.83,,3.73,,FEW,,,,2500.00,,,,,,,,,,,89.33,HECA 190830Z 29003KT 6000 FEW025 31/18 Q1010 NOSIG,
HECA,2024-08-19 09:00,91.40,62.60,38.45,330.00,6.00,0.00,29.83,,6.21,,,,,,,,,,,,,,,,,92.23,HECA 190900Z 33006KT CAVOK 33/17 Q1010 NOSIG,
HECA,2024-08-19 09:30,91.40,59.00,33.84,290.00,7.00,0.00,29.83,,6.21,,,,,,,,,,,,,,,,,90.68,HECA 190930Z 29007KT CAVOK 33/15 Q1010 NOSIG,
HECA,2024-08-19 10:00,91.40,59.00,33.84,290.00,6.00,0.00,29.80,,6.21,,,,,,,,,,,,,,,,,90.68,HECA 191000Z 29006KT CAVOK 33/15 Q1009 NOSIG,
HECA,2024-08-19 10:30,93.20,57.20,29.99,280.00,8.00,0.00,29.80,,6.00,,,,,,,,,,,,,,,,,91.91,HECA 191030Z AUTO 28008KT 6SM 34/14 A2980 RMK T03400140 IEM_DS3505,
HECA,2024-08-19 11:00,95.00,57.20,28.37,280.00,8.00,0.00,29.80,,6.21,,,,,,,,,,,,,,,,,93.82,HECA 191100Z 28008KT CAVOK 35/14 Q1009 NOSIG,
HECA,2024-08-19 11:30,95.00,57.20,28.37,290.00,9.00,0.00,29.80,,6.21,,,,,,,,,,,,,,,,,93.82,HECA 191130Z 29009KT CAVOK 35/14 Q1009 NOSIG,
HECA,2024-08-19 12:00,95.00,59.00,30.26,300.00,10.00,0.00,29.80,,6.21,,,,,,,,,,,,,,,,,94.51,HECA 191200Z 30010KT CAVOK 35/15 Q1009 NOSIG,
HECA,2024-08-19 12:30,96.80,59.00,28.63,280.00,6.00,0.00,29.77,,6.21,,,,,,,,,,,,,,,,,96.50,HECA 191230Z 28006KT CAVOK 36/15 Q1008 NOSIG,
HECA,2024-08-19 13:00,96.80,59.00,28.63,290.00,6.00,0.00,29.77,,6.21,,,,,,,,,,,,,,,,,96.50,HECA 191300Z 29006KT CAVOK 36/15 Q1008 NOSIG,
HECA,2024-08-19 13:30,96.80,60.80,30.53,340.00,7.00,0.00,29.77,,6.21,,,,,,,,,,,,,,,,,97.33,HECA 191330Z 34007KT CAVOK 36/16 Q1008 NOSIG,
HECA,2024-08-19 14:00,96.80,60.80,30.53,320.00,9.00,0.00,29.77,,6.21,,,,,,,,,,,,,,,,,97.33,HECA 191400Z 32009KT CAVOK 36/16 Q1008 NOSIG,
HECA,2024-08-19 14:30,96.80,59.00,28.63,340.00,8.00,0.00,29.77,,6.21,,,,,,,,,,,,,,,,,96.50,HECA 191430Z 34008KT CAVOK 36/15 Q1008 NOSIG,
HECA,2024-08-19 15:00,95.00,59.00,30.26,320.00,8.00,0.00,29.77,,6.21,,,,,,,,,,,,,,,,,94.51,HECA 191500Z 32008KT CAVOK 35/15 Q1008 NOSIG,
HECA,2024-08-19 15:30,95.00,60.80,32.27,350.00,8.00,0.00,29.77,,6.21,,,,,,,,,,,,,,,,,95.30,HECA 191530Z 35008KT CAVOK 35/16 Q1008 NOSIG,
HECA,2024-08-19 16:00,95.00,62.60,34.39,340.00,8.00,0.00,29.80,,6.21,,,,,,,,,,,,,,,,,96.22,HECA 191600Z 34008KT CAVOK 35/17 Q1009 NOSIG,
HECA,2024-08-19 16:30,93.20,66.20,41.23,360.00,9.00,0.00,29.80,,6.21,,,,,,,,,,,,,,,,,96.35,HECA 191630Z 36009KT CAVOK 34/19 Q1009 NOSIG,
HECA,2024-08-19 17:00,93.20,68.00,43.88,10.00,9.00,0.00,29.80,,6.21,,,,,,,,,,,,,,,,,97.67,HECA 191700Z 01009KT CAVOK 34/20 Q1009 NOSIG,
HECA,2024-08-19 17:30,91.40,68.00,46.41,350.00,8.00,0.00,29.80,,6.21,,,,,,,,,,,,,,,,,95.55,HECA 191730Z 35008KT CAVOK 33/20 Q1009 NOSIG,
HECA,2024-08-19 18:00,89.60,69.80,52.23,10.00,12.00,0.00,29.83,,6.21,,,,,,,,,,,,,,,,,94.85,HECA 191800Z 01012KT CAVOK 32/21 Q1010 NOSIG,
