station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
HESH,2024-08-16 00:00,89.60,68.00,49.10,340.00,13.00,0.00,29.62,,6.21,,,,,,,,,,,,,,,,,93.47,HESH 160000Z 34013KT CAVOK 32/20 Q1003 NOSIG,
HESH,2024-08-16 01:00,89.60,68.00,49.10,340.00,12.00,0.00,29.62,,6.21,,,,,,,,,,,,,,,,,93.47,HESH 160100Z 34012KT CAVOK 32/20 Q1003 NOSIG,
HESH,2024-08-16 02:00,87.80,68.00,51.98,350.00,14.00,0.00,29.62,,6.21,,,,,,,,,,,,,,,,,91.43,HESH 160200Z 35014KT CAVOK 31/20 Q1003 NOSIG,
HESH,2024-08-16 03:00,87.80,64.40,45.88,350.00,12.00,0.00,29.62,,6.21,,,,,,,,,,,,,,,,,89.33,HESH 160300Z 35012KT CAVOK 31/18 Q1003 NOSIG,
HESH,2024-08-16 04:00,87.80,64.40,45.88,340.00,13.00,0.00,29.65,,6.21,,,,,,,,,,,,,,,,,89.33,HESH 160400Z 34013KT CAVOK 31/18 Q1004 NOSIG,
HESH,2024-08-16 05:00,89.60,64.40,43.34,350.00,12.00,0.00,29.65,,6.21,,,,,,,,,,,,,,,,,91.23,HESH 160500Z 35012KT CAVOK 32/18 Q1004 NOSIG,
HESH,2024-08-16 06:00,91.40,66.20,43.61,360.00,14.00,0.00,29.65,,6.21,,,,,,,,,,,,,,,,,94.29,HESH 160600Z 36014KT CAVOK 33/19 Q1004 NOSIG,
HESH,2024-08-16 07:00,93.20,66.20,41.23,350.00,14.00,0.00,29.65,,6.21,,,,,,,,,,,,,,,,,96.35,HESH 160700Z 35014KT CAVOK 34/19 Q1004 NOSIG,
HESH,2024-08-16 08:00,93.20,64.40,38.73,360.00,15.00,0.00,29.65,,6.21,,,,,,,,,,,,,,,,,95.20,HESH 160800Z 36015KT CAVOK 34/18 Q1004 NOSIG,
HESH,2024-08-16 09:00,98.60,62.60,30.80,20.00,9.00,0.00,29.65,,6.21,,,,,,,,,,,,,,,,,100.38,HESH 160900Z 02009KT CAVOK 37/17 Q1004 NOSIG,
