station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LCEN,1688257200,73.4,69.8,88.51,300.0,7.0,0.0,29.74,,6.21,,,,,,,,,,,,,,,,,73.4,LCEN 020020Z 30007KT CAVOK 23/21 Q1007 NOSIG RMK RWY11 30006KT,
LCEN,1688259000,73.4,69.8,88.51,280.0,5.0,0.0,29.74,,6.21,,,,,,,,,,,,,,,,,73.4,LCEN 020050Z 28005KT CAVOK 23/21 Q1007 NOSIG RMK RWY11 30004KT,
LCEN,1688260800,73.4,69.8,88.51,240.0,3.0,0.0,29.74,,6.21,,,,,,,,,,,,,,,,,73.4,LCEN 020120Z 24003KT CAVOK 23/21 Q1007 NOSIG RMK RWY11 00000KT,
LCEN,1688262600,73.4,69.8,88.51,230.0,4.0,0.0,29.74,,6.21,,,,,,,,,,,,,,,,,73.4,LCEN 020150Z 23004KT CAVOK 23/21 Q1007 NOSIG RMK RWY11 25003KT,
LCEN,1688264400,73.4,68.0,83.21,250.0,3.0,0.0,29.77,,6.21,,,,,,,,,,,,,,,,,73.4,LCEN 020220Z 25003KT CAVOK 23/20 Q1008 NOSIG RMK RWY11 27003KT,
LCEN,1688266200,71.6,68.0,88.43,0.0,0.0,0.0,29.77,,6.21,,,,,,,,,,,,,,,,,71.6,LCEN 020250Z 00000KT CAVOK 22/20 Q1008 NOSIG RMK RWY11 00000KT,
LCEN,1688268000,71.6,68.0,88.43,0.0,0.0,0.0,29.77,,4.97,,FEW,,,,1500.0,,,,,,,,,,,71.6,LCEN 020320Z 00000KT 8000 FEW015 22/20 Q1008 NOSIG RMK RWY11 00000KT,
LCEN,1688269800,73.4,69.8,88.51,0.0,0.0,0.0,29.77,,3.73,,SCT,,,,1000.0,,,,,,,,,,,73.4,LCEN 020350Z 00000KT 6000 SCT010 23/21 Q1008 NOSIG RMK RWY11 00000KT,
LCEN,1688271600,75.2,69.8,83.32,0.0,0.0,0.0,29.8,,3.73,,SCT,,,,1000.0,,,,,,,,,,,75.2,LCEN 020420Z 00000KT 6000 SCT010 24/21 Q1009 NOSIG RMK RWY11 00000KT,
LCEN,1688273400,77.0,71.6,83.44,120.0,4.0,0.0,29.8,,3.73,,SCT,,,,1000.0,,,,,,,,,,,77.0,LCEN 020450Z 12004KT 6000 SCT010 25/22 Q1009 NOSIG RMK RWY11 13005KT,
LCEN,1688275200,80.6,69.8,69.71,100.0,3.0,0.0,29.8,,3.73,,SCT,,,,1000.0,,,,,,,,,,,83.9,COR LCEN 020520Z 10003KT 6000 SCT010 27/21 Q1009 NOSIG RMK RWY11 10004KT,
LCEN,1688277000,80.6,71.6,74.11,90.0,4.0,0.0,29.8,,3.73,,SCT,,,,1000.0,,,,,,,,,,,84.57,LCEN 020550Z 09004KT 6000 SCT010 27/22 Q1009 NOSIG RMK RWY11 13003KT,
LCEN,1688278800,82.4,71.6,69.9,130.0,5.0,0.0,29.8,,4.97,,SCT,,,,1500.0,,,,,,,,,,,87.18,LCEN 020620Z 13005KT 080V180 8000 SCT015 28/22 Q1009 NOSIG RMK RWY11 00000KT,
LCEN,1688280600,84.2,71.6,65.95,130.0,3.0,0.0,29.8,,6.21,,SCT,,,,2000.0,,,,,,,,,,,89.6,LCEN 020650Z 13003KT 9999 SCT020 29/22 Q1009 NOSIG RMK RWY11 16004KT 100V200,
LCEN,1688282400,86.0,69.8,58.55,140.0,6.0,0.0,29.8,,6.21,,SCT,,,,2000.0,,,,,,,,,,,90.58,LCEN 020720Z 14006KT 090V170 9999 SCT020 30/21 Q1009 NOSIG RMK RWY11 14005KT 070V200,
LCEN,1688284200,86.0,69.8,58.55,140.0,5.0,0.0,29.8,,6.21,,SCT,,,,2000.0,,,,,,,,,,,90.58,LCEN 020750Z 14005KT 100V220 9999 SCT020 30/21 Q1009 NOSIG RMK RWY11 12006KT 060V150,
LCEN,1688286000,89.6,69.8,52.23,130.0,4.0,0.0,29.8,,6.21,,SCT,,,,2000.0,,,,,,,,,,,94.85,LCEN 020820Z 13004KT 070V190 9999 SCT020 32/21 Q1009 NOSIG RMK RWY11 14006KT 090V190,
LCEN,1688287800,89.6,69.8,52.23,130.0,6.0,0.0,29.8,,6.21,,SCT,,,,2000.0,,,,,,,,,,,94.85,LCEN 020850Z 13006KT 090V170 9999 SCT020 32/21 Q1009 NOSIG RMK RWY11 11005KT,
LCEN,1688289600,91.4,69.8,49.36,140.0,8.0,0.0,29.8,,6.21,,SCT,,,,2000.0,,,,,,,,,,,96.99,LCEN 020920Z 14008KT 100V240 9999 SCT020 33/21 Q1009 NOSIG RMK RWY11 16007KT 120V210,
LCEN,1688291400,91.4,69.8,49.36,120.0,6.0,0.0,29.77,,6.21,,FEW,,,,2000.0,,,,,,,,,,,96.99,LCEN 020950Z 12006KT 070V150 9999 FEW020 33/21 Q1008 NOSIG RMK RWY11 11004KT,
