station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LFPO,2024-12-05 00:00,41.00,39.20,93.24,220.00,6.00,0.00,30.36,,6.21,,BKN,,,,900.00,,,,,,,,,,,36.37,LFPO 050000Z 22006KT 9999 BKN009 05/04 Q1028 NOSIG,
LFPO,2024-12-05 00:30,41.00,39.20,93.24,200.00,6.00,0.00,30.33,,6.21,,BKN,,,,800.00,,,,,,,,,,,36.37,LFPO 050030Z 20006KT 160V230 9999 BKN008 05/04 Q1027 NOSIG,
LFPO,2024-12-05 01:00,41.00,39.20,93.24,200.00,9.00,0.00,30.33,,6.21,,BKN,,,,700.00,,,,,,,,,,,34.70,LFPO 050100Z 20009KT 9999 BKN007 05/04 Q1027 NOSIG,
LFPO,2024-12-05 01:30,41.00,39.20,93.24,190.00,7.00,0.00,30.30,,5.59,,OVC,,,,600.00,,,,,,,,,,,35.75,LFPO 050130Z AUTO 19007KT 9000 OVC006 05/04 Q1026 TEMPO BKN004,
LFPO,2024-12-05 02:00,41.00,39.20,93.24,190.00,9.00,0.00,30.30,,4.97,,OVC,,,,600.00,,,,,,,,,,,34.70,LFPO 050200Z AUTO 19009KT 8000 OVC006 05/04 Q1026 TEMPO BKN004,
LFPO,2024-12-05 02:30,41.00,39.20,93.24,190.00,10.00,0.00,30.30,,5.59,,OVC,,,,600.00,,,,,,,,,,,34.25,LFPO 050230Z AUTO 19010KT 9000 OVC006 05/04 Q1026 TEMPO BKN004,
LFPO,2024-12-05 03:00,41.00,39.20,93.24,200.00,9.00,0.00,30.27,,5.59,,OVC,,,,600.00,,,,,,,,,,,34.70,LFPO 050300Z AUTO 20009KT 9000 OVC006 05/04 Q1025 TEMPO BKN004,
LFPO,2024-12-05 03:30,41.00,39.20,93.24,200.00,10.00,0.00,30.27,,6.21,,OVC,,,,600.00,,,,,,,,,,,34.25,LFPO 050330Z AUTO 20010KT 9999 OVC006 05/04 Q1025 TEMPO BKN004,
LFPO,2024-12-05 04:00,41.00,39.20,93.24,200.00,9.00,0.00,30.24,,6.21,,OVC,,,,600.00,,,,,,,,,,,34.70,LFPO 050400Z AUTO 20009KT 9999 OVC006 05/04 Q1024 TEMPO BKN004,
LFPO,2024-12-05 04:30,41.00,39.20,93.24,200.00,8.00,0.00,30.24,,4.97,,BKN,,,,600.00,,,,,,,,,,,35.20,LFPO 050430Z 20008KT 170V230 8000 BKN006 05/04 Q1024 NOSIG,
