station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LIPZ,1721348400,78.8,68.0,69.52,10.0,7.0,0.0,30.0,,6.21,,NCD,,,,,,,,,,,,,,,78.8,LIPZ 190020Z AUTO 01007KT 9999 // NCD 26/20 Q1016,
LIPZ,1721350200,78.8,66.2,65.33,20.0,8.0,0.0,30.0,,6.21,,NCD,,,,,,,,,,,,,,,78.8,LIPZ 190050Z AUTO 02008KT 9999 // NCD 26/19 Q1016,
LIPZ,1721352000,78.8,66.2,65.33,20.0,8.0,0.0,30.0,,6.21,,NCD,,,,,,,,,,,,,,,78.8,LIPZ 190120Z AUTO 02008KT 9999 // NCD 26/19 Q1016,
LIPZ,1721353800,77.0,66.2,69.33,20.0,7.0,0.0,30.0,,6.21,,NCD,,,,,,,,,,,,,,,77.0,LIPZ 190150Z AUTO 02007KT 9999 // NCD 25/19 Q1016,
LIPZ,1721355600,77.0,66.2,69.33,40.0,8.0,0.0,30.0,,6.21,,NCD,,,,,,,,,,,,,,,77.0,LIPZ 190220Z AUTO 04008KT 9999 // NCD 25/19 Q1016,
LIPZ,1721357400,77.0,66.2,69.33,40.0,7.0,0.0,30.0,,6.21,,NCD,,,,,,,,,,,,,,,77.0,LIPZ 190250Z AUTO 04007KT 9999 // NCD 25/19 Q1016,
LIPZ,1721359200,77.0,66.2,69.33,10.0,5.0,0.0,30.0,,6.21,,NCD,,,,,,,,,,,,,,,77.0,LIPZ 190320Z AUTO 01005KT 9999 // NCD 25/19 Q1016,
LIPZ,1721361000,75.2,66.2,73.61,30.0,5.0,0.0,30.0,,6.21,,NCD,,,,,,,,,,,,,,,75.2,LIPZ 190350Z AUTO 03005KT 9999 // NCD 24/19 Q1016,
LIPZ,1721362800,77.0,66.2,69.33,350.0,5.0,0.0,30.0,,6.21,,NCD,,,,,,,,,,,,,,,77.0,LIPZ 190420Z AUTO 35005KT 320V030 9999 // NCD 25/19 Q1016,
LIPZ,1721364600,78.8,66.2,65.33,10.0,6.0,0.0,30.0,,6.21,,NCD,,,,,,,,,,,,,,,78.8,LIPZ 190450Z AUTO 01006KT 9999 // NCD 26/19 Q1016,
LIPZ,1721366400,80.6,66.2,61.58,20.0,7.0,0.0,30.0,,6.21,,,,,,,,,,,,,,,,,82.75,LIPZ 190520Z 02007KT CAVOK 27/19 Q1016 NOSIG,
LIPZ,1721368200,80.6,68.0,65.54,20.0,7.0,0.0,30.0,,6.21,,,,,,,,,,,,,,,,,83.29,LIPZ 190550Z 02007KT CAVOK 27/20 Q1016 NOSIG,
LIPZ,1721370000,82.4,68.0,61.81,20.0,7.0,0.0,30.0,,6.21,,,,,,,,,,,,,,,,,85.38,LIPZ 190620Z 02007KT CAVOK 28/20 Q1016 NOSIG,
LIPZ,1721371800,84.2,68.0,58.32,30.0,7.0,0.0,30.0,,6.21,,,,,,,,,,,,,,,,,87.4,LIPZ 190650Z 03007KT CAVOK 29/20 Q1016 NOSIG,
LIPZ,1721373600,86.0,68.0,55.04,60.0,7.0,0.0,30.0,,6.21,,,,,,,,,,,,,,,,,89.41,LIPZ 190720Z 06007KT CAVOK 30/20 Q1016 NOSIG,
LIPZ,1721375400,87.8,68.0,51.98,60.0,6.0,0.0,30.0,,6.21,,,,,,,,,,,,,,,,,91.43,LIPZ 190750Z 06006KT 010V080 CAVOK 31/20 Q1016 NOSIG,
LIPZ,1721377200,87.8,68.0,51.98,50.0,6.0,0.0,30.0,,6.21,,,,,,,,,,,,,,,,,91.43,LIPZ 190820Z 05006KT 010V090 CAVOK 31/20 Q1016 NOSIG,
LIPZ,1721379000,89.6,66.2,46.14,70.0,7.0,0.0,30.0,,6.21,,,,,,,,,,,,,,,,,92.27,LIPZ 190850Z 07007KT CAVOK 32/19 Q1016 NOSIG,
LIPZ,1721380800,89.6,68.0,49.1,60.0,6.0,0.0,30.0,,6.21,,,,,,,,,,,,,,,,,93.47,LIPZ 190920Z 06006KT 020V090 CAVOK 32/20 Q1016 NOSIG,
LIPZ,1721382600,89.6,68.0,49.1,100.0,5.0,0.0,29.97,,6.21,,,,,,,,,,,,,,,,,93.47,LIPZ 190950Z 10005KT 070V140 CAVOK 32/20 Q1015 NOSIG,
LIPZ,1721384400,89.6,69.8,52.23,130.0,5.0,0.0,29.97,,6.21,,,,,,,,,,,,,,,,,94.85,LIPZ 191020Z 13005KT 100V160 CAVOK 32/21 Q1015 NOSIG,
LIPZ,1721386200,89.6,68.0,49.1,130.0,5.0,0.0,29.97,,6.21,,,,,,,,,,,,,,,,,93.47,LIPZ 191050Z 13005KT CAVOK 32/20 Q1015 NOSIG,
LIPZ,1721388000,89.6,68.0,49.1,150.0,6.0,0.0,29.97,,6.21,,,,,,,,,,,,,,,,,93.47,LIPZ 191120Z 15006KT 120V180 CAVOK 32/20 Q1015 NOSIG,
