station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LIRF,2024-07-12 00:20,73.40,69.80,88.51,,2.00,0.00,29.91,,6.21,,NCD,,,,,,,,,,,,,,,73.40,LIRF 120020Z AUTO VRB02KT 9999 NCD 23/21 Q1013,
LIRF,2024-07-12 00:50,71.60,64.40,78.04,100.00,3.00,0.00,29.91,,6.21,,NCD,,,,,,,,,,,,,,,71.60,LIRF 120050Z AUTO 10003KT 060V130 9999 NCD 22/18 Q1013,
LIRF,2024-07-12 01:20,69.80,64.40,82.98,80.00,4.00,0.00,29.91,,6.21,,NCD,,,,,,,,,,,,,,,69.80,LIRF 120120Z AUTO 08004KT 9999 NCD 21/18 Q1013,
LIRF,2024-07-12 01:50,69.80,62.60,77.90,90.00,3.00,0.00,29.91,,6.21,,NCD,,,,,,,,,,,,,,,69.80,LIRF 120150Z AUTO 09003KT 9999 NCD 21/17 Q1013,
LIRF,2024-07-12 02:20,69.80,62.60,77.90,80.00,4.00,0.00,29.91,,6.21,,NCD,,,,,,,,,,,,,,,69.80,LIRF 120220Z AUTO 08004KT 9999 NCD 21/17 Q1013,
LIRF,2024-07-12 02:50,68.00,62.60,82.86,,1.00,0.00,29.91,,6.21,,NCD,,,,,,,,,,,,,,,68.00,LIRF 120250Z AUTO VRB01KT 9999 NCD 20/17 Q1013,
LIRF,2024-07-12 03:20,64.40,60.80,88.09,10.00,3.00,0.00,29.91,,6.21,,NCD,,,,,,,,,,,,,,,64.40,LIRF 120320Z AUTO 01003KT 9999 NCD 18/16 Q1013,
LIRF,2024-07-12 03:50,66.20,62.60,88.18,60.00,3.00,0.00,29.91,,6.21,,NCD,,,,,,,,,,,,,,,66.20,LIRF 120350Z AUTO 06003KT 9999 NCD 19/17 Q1013,
LIRF,2024-07-12 04:20,66.20,62.60,88.18,40.00,2.00,0.00,29.91,,6.21,,NCD,,,,,,,,,,,,,,,66.20,LIRF 120420Z AUTO 04002KT 9999 NCD 19/17 Q1013,
LIRF,2024-07-12 04:50,69.80,64.40,82.98,50.00,3.00,0.00,29.91,,6.21,,NCD,,,,,,,,,,,,,,,69.80,LIRF 120450Z AUTO 05003KT 9999 NCD 21/18 Q1013,
LIRF,2024-07-12 05:20,73.40,69.80,88.51,90.00,4.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,73.40,LIRF 120520Z 09004KT 060V150 CAVOK 23/21 Q1013 NOSIG,
LIRF,2024-07-12 05:50,77.00,71.60,83.44,150.00,5.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,77.00,LIRF 120550Z 15005KT CAVOK 25/22 Q1013 NOSIG,
LIRF,2024-07-12 06:20,78.80,73.40,83.55,140.00,5.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,78.80,LIRF 120620Z 14005KT 110V190 CAVOK 26/23 Q1013 NOSIG,
LIRF,2024-07-12 06:50,80.60,71.60,74.11,180.00,5.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,84.57,LIRF 120650Z 18005KT 130V200 CAVOK 27/22 Q1013 NOSIG,
LIRF,2024-07-12 07:20,82.40,69.80,65.74,170.00,5.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,86.22,LIRF 120720Z 17005KT 130V200 CAVOK 28/21 Q1013 NOSIG,
LIRF,2024-07-12 07:50,84.20,69.80,62.03,160.00,7.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,88.43,LIRF 120750Z 16007KT 130V200 CAVOK 29/21 Q1013 NOSIG,
LIRF,2024-07-12 08:20,86.00,66.20,51.72,180.00,6.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,88.39,LIRF 120820Z 18006KT CAVOK 30/19 Q1013 NOSIG,
LIRF,2024-07-12 08:50,86.00,66.20,51.72,190.00,6.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,88.39,LIRF 120850Z 19006KT 150V220 CAVOK 30/19 Q1013 NOSIG,
LIRF,2024-07-12 09:20,86.00,64.40,48.58,210.00,8.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,87.49,LIRF 120920Z 21008KT 180V250 CAVOK 30/18 Q1013 NOSIG,
LIRF,2024-07-12 09:50,87.80,66.20,48.84,200.00,7.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,90.31,LIRF 120950Z 20007KT 150V240 CAVOK 31/19 Q1013 NOSIG,
LIRF,2024-07-12 10:20,86.00,66.20,51.72,210.00,8.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,88.39,LIRF 121020Z 21008KT CAVOK 30/19 Q1013 NOSIG,
LIRF,2024-07-12 10:50,87.80,66.20,48.84,190.00,6.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,90.31,LIRF 121050Z 19006KT 150V240 CAVOK 31/19 Q1013 NOSIG,
LIRF,2024-07-12 11:20,87.80,68.00,51.98,200.00,7.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,91.43,LIRF 121120Z 20007KT 160V240 CAVOK 31/20 Q1013 NOSIG,
LIRF,2024-07-12 11:50,87.80,66.20,48.84,230.00,7.00,0.00,29.91,,6.21,,,,,,,,,,,,,,,,,90.31,LIRF 121150Z 23007KT 170V260 CAVOK 31/19 Q1013 NOSIG,
LIRF,2024-07-12 12:20,87.80,66.20,48.84,240.00,9.00,0.00,29.88,,6.21,,,,,,,,,,,,,,,,,90.31,LIRF 121220Z 24009KT 210V270 CAVOK 31/19 Q1012 NOSIG,
LIRF,2024-07-12 12:50,87.80,69.80,55.29,240.00,9.00,0.00,29.88,,6.21,,,,,,,,,,,,,,,,,92.71,LIRF 121250Z 24009KT CAVOK 31/21 Q1012 NOSIG,
LIRF,2024-07-12 13:20,87.80,68.00,51.98,230.00,9.00,0.00,29.88,,6.21,,,,,,,,,,,,,,,,,91.43,LIRF 121320Z 23009KT CAVOK 31/20 Q1012 NOSIG,
LIRF,2024-07-12 13:50,87.80,66.20,48.84,240.00,9.00,0.00,29.88,,6.21,,,,,,,,,,,,,,,,,90.31,LIRF 121350Z 24009KT 210V270 CAVOK 31/19 Q1012 NOSIG,
LIRF,2024-07-12 14:20,87.80,66.20,48.84,240.00,9.00,0.00,29.88,,6.21,,,,,,,,,,,,,,,,,90.31,LIRF 121420Z 24009KT CAVOK 31/19 Q1012 NOSIG,
LIRF,2024-07-12 14:50,87.80,66.20,48.84,240.00,10.00,0.00,29.88,,6.21,,,,,,,,,,,,,,,,,90.31,LIRF 121450Z 24010KT CAVOK 31/19 Q1012 NOSIG,
LIRF,2024-07-12 15:20,86.00,66.20,51.72,250.00,8.00,0.00,29.85,,6.21,,,,,,,,,,,,,,,,,88.39,LIRF 121520Z 25008KT 210V280 CAVOK 30/19 Q1011 NOSIG,
LIRF,2024-07-12 15:50,86.00,64.40,48.58,250.00,8.00,0.00,29.85,,6.21,,,,,,,,,,,,,,,,,87.49,LIRF 121550Z 25008KT CAVOK 30/18 Q1011 NOSIG,
LIRF,2024-07-12 16:20,86.00,66.20,51.72,250.00,7.00,0.00,29.85,,6.21,,,,,,,,,,,,,,,,,88.39,LIRF 121620Z 25007KT CAVOK 30/19 Q1011 NOSIG,
LIRF,2024-07-12 16:50,86.00,62.60,45.61,250.00,7.00,0.00,29.85,,6.21,,,,,,,,,,,,,,,,,86.72,LIRF 121650Z 25007KT 210V270 CAVOK 30/17 Q1011 NOSIG,
LIRF,2024-07-12 17:20,84.20,66.20,54.80,270.00,6.00,0.00,29.85,,6.21,,,,,,,,,,,,,,,,,86.50,LIRF 121720Z 27006KT CAVOK 29/19 Q1011 NOSIG,
LIRF,2024-07-12 17:50,84.20,62.60,48.32,270.00,4.00,0.00,29.85,,6.21,,,,,,,,,,,,,,,,,85.03,LIRF 121750Z 27004KT CAVOK 29/17 Q1011 NOSIG,
LIRF,2024-07-12 18:20,82.40,60.80,48.05,270.00,4.00,0.00,29.85,,6.21,,,,,,,,,,,,,,,,,82.90,LIRF 121820Z 27004KT CAVOK 28/16 Q1011 NOSIG,
LIRF,2024-07-12 18:50,80.60,62.60,54.30,270.00,4.00,0.00,29.85,,6.21,,,,,,,,,,,,,,,,,81.84,LIRF 121850Z 27004KT CAVOK 27/17 Q1011 NOSIG,
LIRF,2024-07-12 19:20,78.80,64.40,61.36,270.00,3.00,0.00,29.85,,6.21,,,,,,,,,,,,,,,,,78.80,LIRF 121920Z 27003KT CAVOK 26/18 Q1011 NOSIG,
LIRF,2024-07-12 19:50,78.80,66.20,65.33,290.00,2.00,0.00,29.85,,6.21,,,,,,,,,,,,,,,,,78.80,LIRF 121950Z 29002KT CAVOK 26/19 Q1011 NOSIG,
LIRF,2024-07-12 20:20,78.80,66.20,65.33,,1.00,0.00,29.85,,6.21,,,,,,,,,,,,,,,,,78.80,LIRF 122020Z VRB01KT CAVOK 26/19 Q1011 NOSIG,
LIRF,2024-07-12 20:50,77.00,66.20,69.33,,2.00,0.00,29.85,,6.21,,,,,,,,,,,,,,,,,77.00,LIRF 122050Z VRB02KT CAVOK 25/19 Q1011 NOSIG,
LIRF,2024-07-12 21:20,78.80,68.00,69.52,140.00,4.00,0.00,29.85,,6.21,,,,,,,,,,,,,,,,,78.80,LIRF 122120Z 14004KT 120V190 CAVOK 26/20 Q1011 NOSIG,
LIRF,2024-07-12 21:50,77.00,68.00,73.78,140.00,3.00,0.00,29.85,,6.21,,,,,,,,,,,,,,,,,77.00,LIRF 122150Z 14003KT 110V180 CAVOK 25/20 Q1011 NOSIG,
LIRF,2024-07-12 22:20,71.60,62.60,73.27,,2.00,0.00,29.85,,6.21,,,,,,,,,,,,,,,,,71.60,LIRF 122220Z VRB02KT CAVOK 22/17 Q1011 NOSIG,
LIRF,2024-07-12 22:50,71.60,60.80,68.75,30.00,3.00,0.00,29.85,,6.21,,,,,,,,,,,,,,,,,71.60,LIRF 122250Z 03003KT CAVOK 22/16 Q1011 NOSIG,
LIRF,2024-07-12 23:20,71.60,60.80,68.75,30.00,2.00,0.00,29.85,,6.21,,,,,,,,,,,,,,,,,71.60,LIRF 122320Z 03002KT CAVOK 22/16 Q1011 NOSIG,
LIRF,2024-07-12 23:50,69.80,60.80,73.09,30.00,2.00,0.00,29.85,,6.21,,,,,,,,,,,,,,,,,69.80,LIRF 122350Z 03002KT CAVOK 21/16 Q1011 NOSIG,
LIRF,2024-07-13 00:20,69.80,60.80,73.09,330.00,2.00,0.00,29.85,,6.21,,,,,,,,,,,,,,,,,69.80,LIRF 130020Z 33002KT CAVOK 21/16 Q1011 NOSIG,
LIRF,2024-07-13 00:50,69.80,60.80,73.09,40.00,2.00,0.00,29.85,,6.21,,,,,,,,,,,,,,,,,69.80,LIRF 130050Z 04002KT CAVOK 21/16 Q1011 NOSIG,
