station,valid,lon,lat,elevation,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LTAP,2024-06-03 00:20,35.5833,40.8500,535.00,59.00,53.60,82.25,,2.00,0.00,30.06,,6.21,,,,,,,,,,,,,,,,,59.00,LTAP 030020Z VRB02KT CAVOK 15/12 Q1018 NOSIG RMK RWY23 01003KT,
LTAP,2024-06-03 00:50,35.5833,40.8500,535.00,57.20,51.80,82.12,0.00,0.00,0.00,30.06,,6.21,,,,,,,,,,,,,,,,,57.20,LTAP 030050Z 00000KT CAVOK 14/11 Q1018 NOSIG RMK RWY23 36003KT,
LTAP,2024-06-03 01:20,35.5833,40.8500,535.00,59.00,53.60,82.25,0.00,0.00,0.00,30.06,,6.21,,,,,,,,,,,,,,,,,59.00,LTAP 030120Z 00000KT CAVOK 15/12 Q1018 NOSIG RMK RWY23 35003KT 310V020,
LTAP,2024-06-03 01:50,35.5833,40.8500,535.00,57.20,51.80,82.12,0.00,0.00,0.00,30.06,,6.21,,,,,,,,,,,,,,,,,57.20,LTAP 030150Z 00000KT CAVOK 14/11 Q1018 NOSIG RMK RWY23 01002KT,
LTAP,2024-06-03 02:20,35.5833,40.8500,535.00,55.40,51.80,87.65,300.00,1.00,0.00,30.06,,6.21,,,,,,,,,,,,,,,,,55.40,LTAP 030220Z 30001KT CAVOK 13/11 Q1018 NOSIG RMK RWY23 VRB02KT,
LTAP,2024-06-03 02:50,35.5833,40.8500,535.00,57.20,53.60,87.74,0.00,0.00,0.00,30.06,,6.21,,,,,,,,,,,,,,,,,57.20,LTAP 030250Z 00000KT CAVOK 14/12 Q1018 NOSIG RMK RWY23 35003KT,
LTAP,2024-06-03 03:20,35.5833,40.8500,535.00,64.40,55.40,72.56,0.00,0.00,0.00,30.06,,6.21,,,,,,,,,,,,,,,,,64.40,LTAP 030320Z 00000KT CAVOK 18/13 Q1018 NOSIG RMK RWY23 03001KT,
LTAP,2024-06-03 03:50,35.5833,40.8500,535.00,68.00,53.60,59.97,0.00,0.00,0.00,30.06,,6.21,,,,,,,,,,,,,,,,,68.00,LTAP 030350Z 00000KT CAVOK 20/12 Q1018 NOSIG RMK RWY23 00000KT,
LTAP,2024-06-03 04:20,35.5833,40.8500,535.00,68.00,53.60,59.97,,1.00,0.00,30.06,,6.21,,,,,,,,,,,,,,,,,68.00,LTAP 030420Z VRB01KT CAVOK 20/12 Q1018 NOSIG RMK RWY23 12003KT 090V170,
LTAP,2024-06-03 04:50,35.5833,40.8500,535.00,68.00,55.40,64.04,,2.00,0.00,30.09,,6.21,,,,,,,,,,,,,,,,,68.00,LTAP 030450Z VRB02KT CAVOK 20/13 Q1019 NOSIG RMK RWY23 VRB01KT,
