station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LTDA,1721436600,84.2,73.4,70.08,230.0,11.0,0.0,29.53,,6.21,21.0,,,,,,,,,,,,,,,,90.94,LTDA 200050Z 23011G21KT 210V290 CAVOK 29/23 Q1000 BECMG 30015KT,
LTDA,1721440200,86.0,69.8,58.55,250.0,12.0,0.0,29.5,,6.21,,NSC,,,,,,,,,,,,,,,90.58,LTDA 200150Z 25012KT 220V290 //// NSC 30/21 Q0999 NOSIG,
LTDA,1721443800,82.4,71.6,69.9,260.0,10.0,0.0,29.53,,6.21,,,,,,,,,,,,,,,,,87.18,LTDA 200250Z 26010KT 230V300 CAVOK 28/22 Q1000 NOSIG,
LTDA,1721447400,86.0,66.2,51.72,270.0,10.0,0.0,29.53,,6.21,,,,,,,,,,,,,,,,,88.39,LTDA 200350Z 27010KT 250V320 CAVOK 30/19 Q1000 NOSIG,
LTDA,1721451000,87.8,68.0,51.98,280.0,20.0,0.0,29.53,,6.21,,,,,,,,,,,,,,,,,91.43,LTDA 200450Z 28020KT CAVOK 31/20 Q1000 NOSIG,
LTDA,1721454600,89.6,66.2,46.14,280.0,19.0,0.0,29.53,,6.21,29.0,,,,,,,,,,,,,,,,92.27,LTDA 200550Z 28019G29KT CAVOK 32/19 Q1000 NOSIG,
LTDA,1721458200,91.4,68.0,46.41,300.0,19.0,0.0,29.53,,6.21,,,,,,,,,,,,,,,,,95.55,LTDA 200650Z 30019KT 270V330 CAVOK 33/20 Q1000 NOSIG,
LTDA,1721461800,93.2,64.4,38.73,300.0,20.0,0.0,29.53,,6.21,,,,,,,,,,,,,,,,,95.2,LTDA 200750Z 30020KT CAVOK 34/18 Q1000 NOSIG,
LTDA,1721465400,95.0,62.6,34.39,290.0,22.0,0.0,29.53,,6.21,34.0,,,,,,,,,,,,,,,,96.22,LTDA 200850Z 29022G34KT CAVOK 35/17 Q1000 NOSIG,
LTDA,1721469000,96.8,60.8,30.53,300.0,21.0,0.0,29.53,,6.21,,,,,,,,,,,,,,,,,97.33,LTDA 200950Z 30021KT CAVOK 36/16 Q1000 NOSIG,
LTDA,1721472600,98.6,60.8,28.9,300.0,21.0,0.0,29.5,,6.21,,,,,,,,,,,,,,,,,99.39,LTDA 201050Z 30021KT CAVOK 37/16 Q0999 NOSIG,
LTDA,1721476200,98.6,60.8,28.9,300.0,20.0,0.0,29.5,,6.21,,,,,,,,,,,,,,,,,99.39,LTDA 201150Z 30020KT CAVOK 37/16 Q0999 NOSIG,
LTDA,1721479800,98.6,64.4,32.81,290.0,14.0,0.0,29.5,,6.21,24.0,,,,,,,,,,,,,,,,101.5,LTDA 201250Z 29014G24KT CAVOK 37/18 Q0999 NOSIG,
LTDA,1721483400,95.0,73.4,49.87,210.0,17.0,0.0,29.5,,6.21,,,,,,,,,,,,,,,,,105.13,LTDA 201350Z 21017KT 190V250 CAVOK 35/23 Q0999 NOSIG,
LTDA,1721487000,91.4,75.2,59.24,220.0,20.0,0.0,29.5,,6.21,,,,,,,,,,,,,,,,,102.65,LTDA 201450Z 22020KT CAVOK 33/24 Q0999 NOSIG,
LTDA,1721490600,89.6,73.4,59.01,220.0,20.0,0.0,29.5,,6.21,,,,,,,,,,,,,,,,,98.2,LTDA 201550Z 22020KT CAVOK 32/23 Q0999 NOSIG,
LTDA,1721494200,87.8,73.4,62.47,220.0,17.0,0.0,29.53,,6.21,,,,,,,,,,,,,,,,,95.86,LTDA 201650Z 22017KT 200V260 CAVOK 31/23 Q1000 NOSIG,
LTDA,1721497800,86.0,73.4,66.15,240.0,12.0,0.0,29.56,,6.21,,,,,,,,,,,,,,,,,93.45,LTDA 201750Z 24012KT CAVOK 30/23 Q1001 NOSIG,
LTDA,1721501400,86.0,75.2,70.27,220.0,11.0,0.0,29.59,,6.21,,,,,,,,,,,,,,,,,95.19,LTDA 201850Z 22011KT CAVOK 30/24 Q1002 NOSIG,
LTDA,1721505000,86.0,75.2,70.27,230.0,12.0,0.0,29.59,,6.21,,,,,,,,,,,,,,,,,95.19,LTDA 201950Z 23012KT CAVOK 30/24 Q1002 NOSIG,
LTDA,1721508600,84.2,75.2,74.44,210.0,7.0,0.0,29.59,,6.21,,,,,,,,,,,,,,,,,92.45,LTDA 202050Z 21007KT CAVOK 29/24 Q1002 NOSIG,
LTDA,1721512200,82.4,73.4,74.28,210.0,9.0,0.0,29.59,,6.21,,,,,,,,,,,,,,,,,88.26,LTDA 202150Z 21009KT CAVOK 28/23 Q1002 NOSIG,
LTDA,1721515800,82.4,75.2,78.9,230.0,9.0,0.0,29.59,,6.21,,,,,,,,,,,,,,,,,89.48,LTDA 202250Z 23009KT CAVOK 28/24 Q1002 NOSIG,
LTDA,1721519400,82.4,73.4,74.28,220.0,7.0,0.0,29.59,,6.21,,,,,,,,,,,,,,,,,88.26,LTDA 202350Z 22007KT CAVOK 28/23 Q1002 NOSIG,
LTDA,1721523000,84.2,69.8,62.03,,4.0,0.0,29.59,,6.21,,,,,,,,,,,,,,,,,88.43,LTDA 210050Z VRB04KT CAVOK 29/21 Q1002 NOSIG,
LTDA,1721526600,82.4,69.8,65.74,240.0,6.0,0.0,29.59,,6.21,,,,,,,,,,,,,,,,,86.22,LTDA 210150Z 24006KT 190V290 CAVOK 28/21 Q1002 NOSIG,
LTDA,1721530200,82.4,73.4,74.28,170.0,7.0,0.0,29.62,,6.21,,,,,,,,,,,,,,,,,88.26,LTDA 210250Z 17007KT 140V220 CAVOK 28/23 Q1003 NOSIG,
LTDA,1721533800,84.2,71.6,65.95,230.0,11.0,0.0,29.62,,6.21,,,,,,,,,,,,,,,,,89.6,LTDA 210350Z 23011KT 210V280 CAVOK 29/22 Q1003 NOSIG,
LTDA,1721537400,87.8,71.6,58.78,250.0,5.0,0.0,29.65,,6.21,,,,,,,,,,,,,,,,,94.18,LTDA 210450Z 25005KT 150V300 CAVOK 31/22 Q1004 NOSIG,
LTDA,1721541000,89.6,68.0,49.1,290.0,13.0,0.0,29.62,,6.21,,,,,,,,,,,,,,,,,93.47,LTDA 210550Z 29013KT CAVOK 32/20 Q1003 NOSIG,
