station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LYBE,1751241600,73.4,59.0,60.72,240.0,5.0,0.0,30.03,,6.21,,,,,,,,,,,,,,,,,73.4,LYBE 300000Z 24005KT CAVOK 23/15 Q1017 NOSIG,
LYBE,1751243400,73.4,59.0,60.72,230.0,5.0,0.0,30.03,,6.21,,,,,,,,,,,,,,,,,73.4,LYBE 300030Z 23005KT CAVOK 23/15 Q1017 NOSIG,
LYBE,1751245200,73.4,59.0,60.72,240.0,8.0,0.0,30.03,,6.21,,,,,,,,,,,,,,,,,73.4,LYBE 300100Z 24008KT CAVOK 23/15 Q1017 NOSIG,
LYBE,1751247000,71.6,59.0,64.52,230.0,8.0,0.0,30.03,,6.21,,,,,,,,,,,,,,,,,71.6,LYBE 300130Z 23008KT CAVOK 22/15 Q1017 NOSIG,
LYBE,1751248800,71.6,59.0,64.52,230.0,8.0,0.0,30.03,,6.21,,,,,,,,,,,,,,,,,71.6,LYBE 300200Z 23008KT CAVOK 22/15 Q1017 NOSIG,
LYBE,1751250600,69.8,59.0,68.59,240.0,9.0,0.0,30.03,,6.21,,,,,,,,,,,,,,,,,69.8,LYBE 300230Z 24009KT CAVOK 21/15 Q1017 NOSIG,
LYBE,1751252400,69.8,59.0,68.59,230.0,6.0,0.0,30.03,,6.21,,,,,,,,,,,,,,,,,69.8,LYBE 300300Z 23006KT CAVOK 21/15 Q1017 NOSIG,
LYBE,1751254200,69.8,59.0,68.59,240.0,6.0,0.0,30.03,,6.21,,,,,,,,,,,,,,,,,69.8,LYBE 300330Z 24006KT CAVOK 21/15 Q1017 NOSIG,
LYBE,1751256000,69.8,59.0,68.59,220.0,5.0,0.0,30.03,,6.21,,,,,,,,,,,,,,,,,69.8,LYBE 300400Z 22005KT 180V260 CAVOK 21/15 Q1017 NOSIG,
LYBE,1751257800,69.8,59.0,68.59,230.0,5.0,0.0,30.03,,6.21,,,,,,,,,,,,,,,,,69.8,LYBE 300430Z 23005KT 200V260 CAVOK 21/15 Q1017 NOSIG,
LYBE,1751259600,71.6,60.8,68.79,240.0,5.0,0.0,30.03,,6.21,,,,,,,,,,,,,,,,,71.6,LYBE 300500Z 24005KT 200V290 CAVOK 22/16 Q1017 NOSIG,
LYBE,1751261400,73.4,60.8,64.74,260.0,5.0,0.0,30.03,,6.21,,,,,,,,,,,,,,,,,73.4,LYBE 300530Z 26005KT 230V290 CAVOK 23/16 Q1017 NOSIG,
LYBE,1751263200,75.2,60.8,60.96,250.0,5.0,0.0,30.03,,6.21,,,,,,,,,,,,,,,,,75.2,LYBE 300600Z 25005KT 210V300 CAVOK 24/16 Q1017 NOSIG,
LYBE,1751265000,78.8,60.8,54.11,280.0,4.0,0.0,30.03,,6.21,,,,,,,,,,,,,,,,,78.8,LYBE 300630Z 28004KT 210V320 CAVOK 26/16 Q1017 NOSIG,
LYBE,1751266800,82.4,62.6,51.29,290.0,6.0,0.0,30.03,,6.21,,,,,,,,,,,,,,,,,83.42,LYBE 300700Z 29006KT 260V320 CAVOK 28/17 Q1017 NOSIG,
LYBE,1751268600,84.2,62.6,48.4,330.0,5.0,0.0,30.03,,6.21,,,,,,,,,,,,,,,,,85.05,LYBE 300730Z 33005KT 290V020 CAVOK 29/17 Q1017 NOSIG,
