station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
LZIB,1719014400,75.2,71.6,88.59,10.0,6.0,0.0,29.83,,6.21,,,,,,,,,,,,,,,,,75.2,LZIB 220000Z 01006KT CAVOK 24/22 Q1010 NOSIG,
LZIB,1719016200,75.2,71.6,88.59,20.0,6.0,0.0,29.8,,6.21,,FEW,,,,2500.0,,,,,,,,,,,75.2,LZIB 220030Z 02006KT 9999 FEW025 24/22 Q1009 BECMG 18006KT,
LZIB,1719018000,77.0,71.6,83.44,280.0,6.0,0.0,29.85,,6.21,,FEW,BKN,,,2000.0,2500.0,,,,,,,,,,77.0,LZIB 220100Z 28006KT 9999 FEW020 BKN025 25/22 Q1011 NOSIG,
LZIB,1719019800,75.2,66.2,73.61,290.0,10.0,0.0,29.85,,6.21,,BKN,,,,2900.0,,,,,,,,,,,75.2,LZIB 220130Z 29010KT 9999 BKN029 24/19 Q1011 NOSIG,
LZIB,1719021600,73.4,64.4,73.44,290.0,17.0,0.0,29.83,,6.21,27.0,BKN,,,,3500.0,,,,,,,,,,,73.4,LZIB 220200Z 29017G27KT 260V320 9999 BKN035 23/18 Q1010 NOSIG,
LZIB,1719023400,71.6,60.8,68.75,290.0,15.0,0.0,29.83,,6.21,,FEW,,,,4200.0,,,,,,,,,,,71.6,LZIB 220230Z 29015KT 9999 FEW042 22/16 Q1010 NOSIG,
LZIB,1719025200,71.6,60.8,68.75,290.0,9.0,0.0,29.85,,6.21,,FEW,,,,4500.0,,,,,,,,,,,71.6,LZIB 220300Z 29009KT 260V330 9999 FEW045 22/16 Q1011 NOSIG,
LZIB,1719027000,71.6,59.0,64.48,310.0,10.0,0.0,29.85,,6.21,,FEW,,,,4500.0,,,,,,,,,,,71.6,LZIB 220330Z 31010KT 270V350 9999 FEW045 22/15 Q1011 NOSIG,
LZIB,1719028800,71.6,57.2,60.44,330.0,10.0,0.0,29.88,,6.21,21.0,FEW,,,,4800.0,,,,,,,,,,,71.6,LZIB 220400Z 33010G21KT 280V020 9999 FEW048 22/14 Q1012 NOSIG,
LZIB,1719030600,71.6,59.0,64.48,,6.0,0.0,29.88,,6.21,,SCT,,,,5000.0,,,,VCTS,,,,,,,71.6,LZIB 220430Z VRB06KT 9999 VCTS SCT050CB 22/15 Q1012 TEMPO SHRA,
LZIB,1719032400,71.6,57.2,60.44,,3.0,0.0,29.91,,6.21,,FEW,FEW,,,3200.0,4800.0,,,-SHRA VCTS,,,,,,,71.6,LZIB 220500Z VRB03KT 9999 -SHRA VCTS FEW032 FEW048CB 22/14 Q1013 TEMPO SHRA,
LZIB,1719034200,68.0,59.0,72.92,290.0,6.0,0.0,29.91,,6.21,,FEW,SCT,,,1400.0,4000.0,,,-SHRA VCTS,,,,,,,68.0,LZIB 220530Z 29006KT 240V350 9999 -SHRA VCTS FEW014 SCT040CB 20/15 Q1013 NOSIG,
LZIB,1719036000,68.0,60.8,77.75,,5.0,0.0,29.91,,6.21,,FEW,FEW,,,1400.0,4400.0,,,-SHRA VCTS,,,,,,,68.0,LZIB 220600Z VRB05KT 9999 -SHRA VCTS FEW014 FEW044CB 20/16 Q1013 NOSIG,
LZIB,1719037800,66.2,59.0,77.6,290.0,11.0,0.0,29.94,,6.21,21.0,FEW,SCT,,,2200.0,4200.0,,,VCTS,,,,,,,66.2,LZIB 220630Z 29011G21KT 9999 VCTS FEW022 SCT042CB 19/15 Q1014 NOSIG,
LZIB,1719039600,68.0,59.0,72.92,290.0,9.0,0.0,29.94,,6.21,19.0,FEW,FEW,,,2400.0,4200.0,,,-SHRA,,,,,,,68.0,LZIB 220700Z 29009G19KT 250V320 9999 -SHRA FEW024 FEW042TCU 20/15 Q1014 NOSIG,
