station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,vsby,gust,skyc,wxcodes,feel
ENGM,1737013800,30.2,28.4,92.92,0.0,0.0,0.0,30.12,0.47,0.0,400.0,FZFG,30.2
ENGM,1737015600,32.0,32.0,100.0,210.0,4.0,0.0,30.15,0.25,4.0,100000.0,FZFG,27.42
ENGM,1737017400,32.0,32.0,100.0,0.0,2.0,0.0,30.12,0.25,2.0,100000.0,FG,32.0
ENGM,1737019200,32.0,32.0,100.0,0.0,1.0,0.0,30.12,0.25,1.0,100000.0,FG,32.0
ENGM,1737021000,32.0,32.0,100.0,0.0,2.0,0.0,30.15,0.25,2.0,100000.0,FG,32.0
ENGM,1737022800,33.8,33.8,100.0,0.0,2.0,0.0,30.15,5.59,2.0,100000.0,PRFG,33.8
ENGM,1737024600,33.8,32.0,93.03,200.0,3.0,0.0,30.12,2.55,3.0,100000.0,PRFG,30.75
ENTC,1737026400,42.8,37.4,81.07,240.0,12.0,0.0,29.32,6.21,12.0,2200.0,-DZ,35.75
ENTC,1737028200,42.8,37.4,81.07,240.0,14.0,0.0,29.35,6.21,14.0,2500.0,-RA,35.08
ENTC,1737030000,41.0,37.4,86.89,230.0,9.0,0.0,29.35,6.21,9.0,2500.0,-DZ,34.7
